index	nameMatchValidation	taxonID	datasetName	taxonRank	scientificName	verbatimScientificName	synonym	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	vernacularNameEN	vernacularNameNL	vernacularNameFR	verbatimInvasionStage	invasionStage	invasionStageCertainty	BFIS	ISEIA	spatialDistribution	invasiveness	verbatimIntroductionPathway	introductionPathway	introductionMode	verbatimHabitat	habitat	verbatimNativeRange	nativeRange	verbatimPresenceBE	verbatimPresenceFL	verbatimPresenceWA	verbatimPresenceBR	verbatimPresenceBECoast	verbatimPresenceBPNS	verbatimPresenceBEEZ	presenceBE	presenceFL	presenceWA	presenceBR	presenceBECoast	presenceBPNS	presenceBEEZ	firstObservationYearBE	firstObservationYearFL	latestObservationYearBE	source	sourceID	riskAnalysis	publicationStatus	notes	manual_acceptedKey	gbifapi_usageKey	gbifapi_scientificName	gbifapi_canonicalName	gbifapi_status	gbifapi_rank	gbifapi_matchType	gbifapi_acceptedKey	gbifapi_acceptedScientificName
2627	ok		plants	variety	Phyla nodiflora (L.) var. minor (Hook.) N. O'Leary et Múlgura	Phyla nodiflora (L.) var. minor (Hook.) N. O'Leary et Múlgura	Phyla canescens Kunth	Plantae				Verbenaceae							Cas.	introduced						Hort.	escape > horticulture	D		to be determined by experts	AM	N. America | S. America		X						present	present	absent	absent				2010		2013							7455425	Phyla nodiflora var. minor (Gillies & Hook.) N.O'Leary & Múlgura	Phyla nodiflora minor	ACCEPTED	VARIETY	EXACT	7455425	Phyla nodiflora var. minor (Gillies & Hook.) N.O'Leary & Múlgura
2628	ok		plants	species	Verbena bonariensis L.	Verbena bonariensis L.		Plantae				Verbenaceae							Cas.	introduced						Hort., wool	escape > horticulture | contaminant > contaminant on animals (except parasites, species transported by host/vector)	D/A		to be determined by experts	SAM	S. America		X	X					present	present	present	absent				1893		Ann.							2925514	Verbena bonariensis L.	Verbena bonariensis	ACCEPTED	SPECIES	EXACT	2925514	Verbena bonariensis L.
2629	ok		plants	species	Verbena brasiliensis Velloso	Verbena brasiliensis Velloso	Verbena litoralis Kunth var. brasiliensis (Velloso) Briq.	Plantae				Verbenaceae							Cas.	introduced						Grain	contaminant > seed contaminant	A		to be determined by experts	SAM	S. America		X						present	present	absent	absent				1993		1993							2925518	Verbena brasiliensis Vell.	Verbena brasiliensis	ACCEPTED	SPECIES	EXACT	2925518	Verbena brasiliensis Vell.
2630	ok		plants	species	Verbena halei Small	Verbena halei Small	Verbena officinalis L. var. halei (Small) Munir, incl. V. gaudichaudii (Briq.) Michael	Plantae				Verbenaceae							Cas.	introduced						Wool	contaminant > contaminant on animals (except parasites, species transported by host/vector)	A		to be determined by experts	NAM	N. America			X					present	absent	present	absent				1921		1940							2925515	Verbena halei Small	Verbena halei	ACCEPTED	SPECIES	EXACT	2925515	Verbena halei Small
2631	ok		plants	species	Verbena hastata L.	Verbena hastata L.		Plantae				Verbenaceae							Cas.	introduced						Wool, hort.?	contaminant > contaminant on animals (except parasites, species transported by host/vector)	D/A		to be determined by experts	NAM	N. America		X	X	X				present	present	present	present				1902		2015							2925527	Verbena hastata L.	Verbena hastata	ACCEPTED	SPECIES	EXACT	2925527	Verbena hastata L.
2632	ok		plants	species	Verbena rigida Spreng.	Verbena rigida Spreng.		Plantae				Verbenaceae							Cas.	introduced						Hort.	escape > horticulture	D		to be determined by experts	SAM	S. America		X	X	X				present	present	present	present				1951		2013							2925496	Verbena rigida Spreng.	Verbena rigida	ACCEPTED	SPECIES	EXACT	2925496	Verbena rigida Spreng.
2633	ok		plants	species	Verbena supina L.	Verbena supina L.		Plantae				Verbenaceae							Cas.	introduced						Wool	contaminant > contaminant on animals (except parasites, species transported by host/vector)	A		to be determined by experts	E AF AS-Te	to be determined by experts			X					present	absent	present	absent				1947		1947							2925492	Verbena supina L.	Verbena supina	ACCEPTED	SPECIES	EXACT	2925492	Verbena supina L.
2634	ok		plants	species	Verbena urticifolia L.	Verbena urticifolia L.		Plantae				Verbenaceae							Cas.	introduced						Grain	contaminant > seed contaminant	A		to be determined by experts	NAM	N. America		X						present	present	absent	absent				1996		2005							2925530	Verbena urticifolia L.	Verbena urticifolia	ACCEPTED	SPECIES	EXACT	2925530	Verbena urticifolia L.
2635	ok		plants	species	Viola cornuta L.	Viola cornuta L.		Plantae				Violaceae							Cas.	introduced						Hort.	escape > horticulture	D		to be determined by experts	E	Europe			X					present	absent	present	absent				<1835		1958							7628663	Viola cornuta L.	Viola cornuta	ACCEPTED	SPECIES	EXACT	7628663	Viola cornuta L.
2636	ok		plants	hybrid	Viola x wittrockiana Gams ex Kappert (hybrid of complex origin)	Viola x wittrockiana Gams ex Kappert (hybrid of complex origin)		Plantae				Violaceae							Cas.	introduced						Hort.	escape > horticulture	D		to be determined by experts	Cult.	unknown		X	X					present	present	present	absent				1935		2014							8176318	Viola wittrockiana Gams ex Nauenb. & Buttler	Viola wittrockiana	ACCEPTED	SPECIES	EXACT	8176318	Viola wittrockiana Gams ex Nauenb. & Buttler
2637	verify: SYNONYM		plants	species	Parthenocissus inserta (A. Kerner) Fritsch	Parthenocissus inserta (A. Kerner) Fritsch		Plantae				Vitaceae							Inv.	established						Hort.	escape > horticulture	D		to be determined by experts	NAM	N. America		X	X	X				present	present	present	present				1880		N							3039203	Parthenocissus inserta (A. Kerner) Fritsch	Parthenocissus inserta	SYNONYM	SPECIES	EXACT	3039193	Parthenocissus vitacea (Knerr) A.S. Hitchc.
2638	ok		plants	species	Parthenocissus quinquefolia (L.) Planch.	Parthenocissus quinquefolia (L.) Planch.		Plantae				Vitaceae							Nat.	established						Hort.	escape > horticulture	D		to be determined by experts	NAM	N. America		X	X					present	present	present	absent				2001		N							3039194	Parthenocissus quinquefolia (L.) Planchon	Parthenocissus quinquefolia	ACCEPTED	SPECIES	EXACT	3039194	Parthenocissus quinquefolia (L.) Planchon
2639	ok		plants	species	Parthenocissus tricuspidata (Siebold et Zucc.) Planch.	Parthenocissus tricuspidata (Siebold et Zucc.) Planch.		Plantae				Vitaceae							Nat.	established						Hort.	escape > horticulture	D		to be determined by experts	AS-Te	Asia		X	X					present	present	present	absent				1939		N							3039209	Parthenocissus tricuspidata (Siebold & Zucc.) Planchon	Parthenocissus tricuspidata	ACCEPTED	SPECIES	EXACT	3039209	Parthenocissus tricuspidata (Siebold & Zucc.) Planchon
2640	ok		plants	species	Vitis vinifera L.	Vitis vinifera L.		Plantae				Vitaceae							Nat.	established						Agric.	escape > agriculture (including biofuel feedstocks)	D		to be determined by experts	?	unknown		X	X	X				present	present	present	present				1869		N							5372392	Vitis vinifera L.	Vitis vinifera	ACCEPTED	SPECIES	EXACT	5372392	Vitis vinifera L.
2641	ok		plants	species	Asphodelus tenuifolius Cav.	Asphodelus tenuifolius Cav.		Plantae				Xanthorrhoeaceae							Cas.	introduced						Wool, grain,etc	contaminant > seed contaminant | contaminant > contaminant on animals (except parasites, species transported by host/vector)	A		to be determined by experts	E AF AS-Te	to be determined by experts		X	X					present	present	present	absent				1887		1920							2778358	Asphodelus tenuifolius Cav.	Asphodelus tenuifolius	ACCEPTED	SPECIES	EXACT	2778358	Asphodelus tenuifolius Cav.
2642	ok		plants	species	Hemerocallis fulva (L.) L.	Hemerocallis fulva (L.) L.		Plantae				Xanthorrhoeaceae							Nat.	established						Hort.	escape > horticulture	D		to be determined by experts	AS-Te	Asia		X 	X	 				present	present	present	absent				1935		N							2781074	Hemerocallis fulva (L.) L.	Hemerocallis fulva	ACCEPTED	SPECIES	EXACT	2781074	Hemerocallis fulva (L.) L.
2643	ok		plants	species	Hemerocallis lilioasphodelus L.	Hemerocallis lilioasphodelus L.		Plantae				Xanthorrhoeaceae							Cas.?	unknown						Hort.	escape > horticulture	D		to be determined by experts	AS-Te	Asia		X	X	?				present	present	present	unknown				?		2013							2781103	Hemerocallis lilioasphodelus L.	Hemerocallis lilioasphodelus	ACCEPTED	SPECIES	EXACT	2781103	Hemerocallis lilioasphodelus L.
2644	ok		plants	hybrid	Kniphofia x praecox Baker	Kniphofia x praecox Baker		Plantae				Xanthorrhoeaceae							Nat.	established						Hort.	escape > horticulture	D		to be determined by experts	Cult.	unknown		X						present	present	absent	absent				2015		N							5305162	Kniphofia praecox Baker	Kniphofia praecox	ACCEPTED	SPECIES	EXACT	5305162	Kniphofia praecox Baker
2645	ok		plants	species	Tribulus terrestris L.	Tribulus terrestris L.		Plantae				Zygophyllaceae							Cas.	introduced						Wool,etc	contaminant > contaminant on animals (except parasites, species transported by host/vector)	A		to be determined by experts	E AF AS-Te	to be determined by experts		X	X	X				present	present	present	present				<1835		1959							5421116	Tribulus terrestris L.	Tribulus terrestris	ACCEPTED	SPECIES	EXACT	5421116	Tribulus terrestris L.
