gbifapi_acceptedScientificName	gbifapi_acceptedKey	kingdom	invasionStage	datasetName	presenceBE	gbifapi_scientificName	index
Artemisia verlotiorum Lamotte	3120790	Plantae	established	plants	present	Artemisia verlotiorum Lamotte	522
Arum italicum Mill.	5330661	Plantae	established	plants	present	Arum italicum Mill.	440
Aruncus dioicus (Walter) Fern.	5362136	Plantae	introduced	plants	present	Aruncus dioicus (Walter) Fern.	2337
Arundo donax L.	2703041	Plantae	introduced	plants	present	Arundo donax L.	1869
Asarina procumbens Mill.	3729273	Plantae	established	plants	present	Asarina procumbens Mill.	1800
Asarum europaeum L.	7313595	Plantae	established	plants	present	Asarum europaeum L.	462
Asclepias incarnata L.	3170266	Plantae	introduced	plants	present	Asclepias incarnata L.	430
Asclepias syriaca L.	3170247	Plantae	unknown	plants	present	Asclepias syriaca L.	431
Asperugo procumbens L.	2926055	Plantae	introduced	plants	present	Asperugo procumbens L.	820
Asperula arvensis L.	2916662	Plantae	introduced	plants	present	Asperula arvensis L.	2452
Asperula laevigata L.	2916822	Plantae	introduced	plants	present	Asperula laevigata L.	2453
Asperula taurina L.	2916975	Plantae	introduced	plants	present	Asperula taurina L.	2454
Asperula tinctoria L.	2916767	Plantae	introduced	plants	present	Asperula tinctoria L.	2455
Asphodelus tenuifolius Cav.	2778358	Plantae	introduced	plants	present	Asphodelus tenuifolius Cav.	2641
Astacus leptodactylus Eschscholtz, 1823	4417551	Animalia	established	macroinvertebrates	present	Astacus leptodactylus Eschscholtz, 1823	191
Aster ageratoides Turcz.	5387639	Plantae	introduced	plants	present	Aster ageratoides Turcz.	523
Aster amellus L.	8133114	Plantae	introduced	plants	present	Aster amellus L.	524
Aster lanceolatus	7593922	nan	invasive	harmonia	present	Aster lanceolatus	39
Asteriscus aquaticus (L.) Less.	5393689	Plantae	introduced	plants	present	Asteriscus aquaticus (L.) Less.	525
Asterolinon linum-stellatum (L.) Duby	4007104	Plantae	introduced	plants	present	Lysimachia linum-stellatum L.	2276
Astragalus boeticus L.	5344663	Plantae	introduced	plants	present	Astragalus boeticus L.	1252
Astragalus cicer L.	5343253	Plantae	introduced	plants	present	Astragalus cicer L.	1253
Astragalus cymbicarpos Brot.	5344424	Plantae	introduced	plants	present	Astragalus cymbicarpos Brot.	1254
Astragalus hamosus L.	5342681	Plantae	introduced	plants	present	Astragalus hamosus L.	1255
Astragalus onobrychis L.	5342618	Plantae	introduced	plants	present	Astragalus onobrychis L.	1256
Astragalus oxyglottis Stev. ex M. Bieb.	5345430	Plantae	introduced	plants	present	Astragalus oxyglottis Stev. ex M. Bieb.	1257
Astragalus stella L.	5345210	Plantae	introduced	plants	present	Astragalus stella L.	1258
Astrantia major L.	3034915	Plantae	established	plants	present	Astrantia major L.	386
Athanasia trifurcata (L.) L.	3114343	Plantae	introduced	plants	present	Athanasia trifurcata (L.) L.	526
Atriplex eardleyae Aellen	3083659	Plantae	introduced	plants	present	Atriplex eardleyae Aellen	293
Atriplex halimus L.	3083718	Plantae	introduced	plants	present	Atriplex halimus L.	294
Atriplex holocarpa F. Muell.	3083746	Plantae	introduced	plants	present	Atriplex holocarpa F. Muell.	295
Atriplex hortensis L.	3083761	Plantae	introduced	plants	present	Atriplex hortensis L.	296
Atriplex leptocarpa F. Muell.	6447496	Plantae	introduced	plants	present	Atriplex leptocarpa F. Muell.	297
Atriplex micrantha Ledeb.	3083680	Plantae	established	plants	present	Atriplex micrantha Ledeb.	298
Atriplex muelleri Benth.	3083773	Plantae	introduced	plants	present	Atriplex muelleri Benth.	299
Atriplex oblongifolia Waldst. & Kit.	3083657	Plantae	introduced	plants	present	Atriplex oblongifolia Waldst. & Kit.	300
Atriplex pseudocampanulata Aellen	6448072	Plantae	introduced	plants	present	Atriplex pseudocampanulata Aellen	301
Atriplex rosea L.	3083745	Plantae	introduced	plants	present	Atriplex rosea L.	302
Atriplex sagittata Borkh.	3760099	Plantae	introduced	plants	present	Atriplex sagittata Borkh.	303
Atriplex semibaccata R. Br.	3083667	Plantae	introduced	plants	present	Atriplex semibaccata R. Br.	304
Atriplex sibirica L.	3083763	Plantae	introduced	plants	present	Atriplex sibirica L.	305
Atriplex suberecta I. Verd.	3083771	Plantae	introduced	plants	present	Atriplex suberecta I. Verd.	306
Atriplex tatarica L.	3083702	Plantae	introduced	plants	present	Atriplex tatarica L.	307
Atyaephyra desmarestii (Millet, 1831)	4309705	Animalia	established	macroinvertebrates	present	Atyaephyra desmarestii (Millet, 1831)	193
Aubrieta columnae Guss.	3054110	Plantae	established	plants	present	Aubrieta columnae Guss.	868
Aubrieta deltoidea (L.) DC.	3054117	Plantae	introduced	plants	present	Aubrieta deltoidea (L.) DC.	869
Aucuba japonica Thunb.	3033077	Plantae	introduced	plants	present	Aucuba japonica Thunb.	1431
Aurinia saxatilis (L.) Desv.	5377778	Plantae	unknown	plants	present	Aurinia saxatilis (L.) Desv.	870
