index	nameMatchValidation	taxonID	datasetName	scientificName	verbatimScientificName	synonym	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	vernacularNameEN	vernacularNameNL	vernacularNameFR	verbatimInvasionStage	invasionStage	invasionStageCertainty	BFIS	ISEIA	spatialDistribution	invasiveness	verbatimIntroductionPathway	introductionPathway	introductionMode	verbatimHabitat	habitat	verbatimNativeRange	nativeRange	verbatimPresenceBE	verbatimPresenceFL	verbatimPresenceWA	verbatimPresenceBR	verbatimPresenceBECoast	verbatimPresenceBPNS	verbatimPresenceBEEZ	presenceBE	presenceFL	presenceWA	presenceBR	presenceBECoast	presenceBPNS	presenceBEEZ	firstObservationYearBE	firstObservationYearFL	latestObservationYearBE	source	sourceID	riskAnalysis	publicationStatus	notes	manual_acceptedKey	gbifapi_usageKey	gbifapi_scientificName	gbifapi_canonicalName	gbifapi_status	gbifapi_rank	gbifapi_matchType	gbifapi_confidence	gbifapi_acceptedKey	gbifapi_acceptedScientificName
45	ok, SYNONYM	42	harmonia	Bidens frondosa	Bidens frondosa						Asteraceae				Large-leaved beggarticks	Zwart tandzaad	Bident à fruits noirs	stabilization	established		b3	9.0	widespread		accidental	to be determined by experts		terrestrial	terrestrial	North America	N. America	yes	yes	yes					present	present	present	present				1886					no	published			8662049	Bidens frondosa Buch.-Ham.	Bidens frondosa	SYNONYM	SPECIES	EXACT	97	8359115	Bidens frondosa Buch.-Ham. ex Hook.f.
46	ok	147	harmonia	Branta canadensis	Branta canadensis						Anatidae				Canada goose	Canadese gans	Bernache du canada	spread	invasive		a3	12.0	widespread		pets and domestic animals	escape > pet/aquarium/terrarium species (including live food for such species )		freshwater	freshwater	North America	N. America	yes	yes	yes					present	present	present	present				1973					no	published			5232437	Branta canadensis (Linnaeus, 1758)	Branta canadensis	ACCEPTED	SPECIES	EXACT	99	5232437	Branta canadensis (Linnaeus, 1758)
47	ok	21	harmonia	Branta canadensis	Branta canadensis						Anatidae				Canada goose	Canadese gans	Bernache du canada	spread	invasive		a3	12.0	widespread		pets and domestic animals	escape > pet/aquarium/terrarium species (including live food for such species )		freshwater	freshwater	North America	N. America	yes	yes	yes					present	present	present	present				1973					no	draft			5232437	Branta canadensis (Linnaeus, 1758)	Branta canadensis	ACCEPTED	SPECIES	EXACT	99	5232437	Branta canadensis (Linnaeus, 1758)
48	ok	43	harmonia	Branta leucopsis	Branta leucopsis						Anatidae				Barnacle goose	Brandgans	Bernache nonnette	spread	invasive		c	0.0	restricted			to be determined by experts		freshwater	freshwater	Europe	Europe	yes	yes	no					present	present	absent	to be determined by experts				1980					no	pending			5232464	Branta leucopsis (Bechstein, 1803)	Branta leucopsis	ACCEPTED	SPECIES	EXACT	99	5232464	Branta leucopsis (Bechstein, 1803)
49	ok	44	harmonia	Buddleja davidii	Buddleja davidii						Buddlejaceae				Butterfly bush	Vlinderstruik	Arbre aux papillons	spread	invasive		b3	10.0	widespread		agri- and horticulture	escape > to be determined by experts		terrestrial	terrestrial	Asia	Asia	yes	yes	yes					present	present	present	present				1942					no	published			3173338	Buddleja davidii Franch.	Buddleja davidii	ACCEPTED	SPECIES	EXACT	99	3173338	Buddleja davidii Franch.
50	ok	120	harmonia	Cabomba caroliniana	Cabomba caroliniana	Cabomba australis					Cabombaceae				Carolina fanwort	Waterwaaier	Cabomba				b0	10.0			aquariums and ponds	escape > to be determined by experts		freshwater	freshwater	South America	S. America	no							absent	absent	absent	absent									no	published			2882443	Cabomba caroliniana A. Gray	Cabomba caroliniana	ACCEPTED	SPECIES	EXACT	99	2882443	Cabomba caroliniana A. Gray
51	ok	126	harmonia	Callosciurus erythraeus	Callosciurus erythraeus						Sciuridae				Pallas's squirrel, Red-bellied tree squirrel	Pallas eekhoorn	Ecureuil à ventre rouge	naturalization	established		a1	11.0	isolated		pets and domestic animals	escape > pet/aquarium/terrarium species (including live food for such species )		terrestrial	terrestrial	Asia	Asia	yes	yes	no					present	present	absent	to be determined by experts				2005					yes	published			2437394	Callosciurus erythraeus (Pallas, 1779)	Callosciurus erythraeus	ACCEPTED	SPECIES	EXACT	99	2437394	Callosciurus erythraeus (Pallas, 1779)
52	ok	127	harmonia	Callosciurus finlaysonii	Callosciurus finlaysonii						Sciuridae				Finlayson's squirrel	Thaise eekhoorn	Ecureuil de finlayson				a0	11.0			pets and domestic animals	escape > pet/aquarium/terrarium species (including live food for such species )		terrestrial	terrestrial	Asia	Asia	no							absent	absent	absent	absent									no	published			2437399	Callosciurus finlaysonii (Horsfield, 1823)	Callosciurus finlaysonii	ACCEPTED	SPECIES	EXACT	99	2437399	Callosciurus finlaysonii (Horsfield, 1823)
53	ok	45	harmonia	Campylopus introflexus	Campylopus introflexus										Campylopus moss						a3	1.0	widespread		accidental	to be determined by experts		terrestrial	terrestrial		to be determined by experts	yes	yes	yes					present	present	present	present				1966					no	pending			5281901	Campylopus introflexus Bridel, 1819	Campylopus introflexus	ACCEPTED	SPECIES	EXACT	99	5281901	Campylopus introflexus Bridel, 1819
54	ok	2	harmonia	Carassius gibelio	Carassius gibelio						Cyprinidae				Prussian carp	Giebel	Gibèle	spread	invasive		a3	12.0	widespread		aquariums and ponds	escape > to be determined by experts		freshwater	freshwater	Asia, Europe	Europe | Asia	yes	yes	yes					present	present	present	present				1750					no	published			2366634	Carassius gibelio (Bloch, 1782)	Carassius gibelio	ACCEPTED	SPECIES	EXACT	99	2366634	Carassius gibelio (Bloch, 1782)
