id,scientificname,species_group,species_type,species_status,count_obs
17168,Salix Sekka,Planten,S,Incidental / Vagrant / Migrant,38
17169,Salix x rubra (S. purpurea x viminalis),Planten,H,Native,61
17170,Salix x mollissima (S. triandra x viminalis),Planten,H,Native,463
17171,Salix x rubens (S. alba x fragilis),Planten,H,Native,2765
17172,Salix x sericans (S. caprea x viminalis),Planten,Y,Native,721
17173,Salix x smithiana (S. caprea x viminalis),Planten,H,Native,98
17174,Salix x multinervis (S. aurita x cinerea),Planten,H,Native,3398
17175,Populus x canescens (P. alba x tremula),Planten,H,Naturalized,542
17176,Populus trichocarpa,Planten,S,Incidental / Vagrant / Migrant,406
17177,Populus x canadensis (P. nigra x deltoides),Planten,H,Incidental / Vagrant / Migrant,3144
17178,Populus nigra var. italica,Planten,V,Incidental / Vagrant / Migrant,106
17179,Viola x contempta (V. arvensis x tricolor),Planten,H,Native,114
17180,Viola tricolor Hortensis,Planten,H,Incidental / Vagrant / Migrant,191
17181,Viola x scabra (V. odorata x hirta),Planten,H,Native,1
17183,Viola persicifolia var. persicifolia,Planten,V,Extinct,9
17185,Viola x bavarica (V. reichenbachiana x riviniana),Planten,H,Native,9
17186,Viola x intersita (V. riviniana x canina),Planten,H,Native,1
17187,Galerucella nymphaeae,Kevers,S,Native,48
17188,Colletes similis,Bijen wespen en mieren,S,Native,17
17191,Mentha x verticillata (M. aquatica x arvensis),Planten,H,Native,237
17192,Mentha x rotundifolia (M. longifolia x suaveolens),Planten,H,Native,346
17195,Echinocardium cordatum,overige ongewervelden,S,Native,171
17196,Mentha x gracilis (M. arvensis x spicata),Planten,H,Naturalized,11
17197,Mentha x piperita (M. aquatica x spicata),Planten,H,Incidental / Vagrant / Migrant,121
17198,Xylocopa violacea,Bijen wespen en mieren,S,Native,191
17199,Mustela putorius furo,Zoogdieren,I,Exotic,50
17201,Dermestes lardarius,Kevers,S,Native,32
17202,Rhagoletis meigenii,Vliegen en Muggen,S,Native,16
17204,Rajidae,Vissen,M,Native,15
17205,Hypericum x desetangsii (H. perforatum x maculatum),Planten,H,Native,201
17207,Anas castanea,Vogels,S,Exotic,17
17208,Amanita citrina var. alba,Paddenstoelen,V,Native,533
17209,Albatrellus ovinus,Paddenstoelen,S,Native,1
17233,Lonchaeidae indet.,Vliegen en Muggen,M,Native,29
17234,Glis glis,Zoogdieren,S,Native,60
17235,Pyrausta despicata,Nachtvlinders en micro's,S,Native,1196
17237,Tadorna cana,Vogels,S,Exotic,62
17238,Acaulon muticum,Mossen en korstmossen,S,Native,1
17239,Aloina aloides,Mossen en korstmossen,S,Native,24
17241,Aloina rigida,Mossen en korstmossen,S,Native,1
17243,Amblystegium fluviatile,Mossen en korstmossen,S,Native,11
17244,Amblystegium serpens,Mossen en korstmossen,S,Native,517
17245,Amblystegium tenax,Mossen en korstmossen,S,Native,11
17246,Amblystegium varium,Mossen en korstmossen,S,Native,60
17247,Andreaea rothii,Mossen en korstmossen,S,Native,2
17248,Andreaea rupestris,Mossen en korstmossen,S,Native,5
17249,Anomodon attenuatus,Mossen en korstmossen,S,Native,45
17250,Anomodon longifolius,Mossen en korstmossen,S,Native,7
17251,Anomodon viticulosus,Mossen en korstmossen,S,Native,144
17252,Antitrichia curtipendula,Mossen en korstmossen,S,Native,9
17253,Archidium alternifolium,Mossen en korstmossen,S,Native,6
17255,Atrichum tenellum,Mossen en korstmossen,S,Native,25
17256,Atrichum undulatum,Mossen en korstmossen,S,Native,998
17257,Aulacomnium androgynum,Mossen en korstmossen,S,Native,248
17258,Aulacomnium palustre,Mossen en korstmossen,S,Native,88
17259,Barbula convoluta,Mossen en korstmossen,S,Native,360
17260,Barbula unguiculata,Mossen en korstmossen,S,Native,291
17261,Bartramia ithyphylla,Mossen en korstmossen,S,Native,3
17262,Bartramia pomiformis,Mossen en korstmossen,S,Native,79
17263,Brachythecium albicans,Mossen en korstmossen,S,Native,292
17264,Brachythecium glareosum,Mossen en korstmossen,S,Native,26
17265,Brachythecium mildeanum,Mossen en korstmossen,S,Native,31
17266,Brachythecium oedipodium,Mossen en korstmossen,S,Native,2
17267,Brachythecium plumosum,Mossen en korstmossen,S,Native,10
17268,Brachythecium populeum,Mossen en korstmossen,S,Native,39
17269,Brachythecium reflexum,Mossen en korstmossen,S,Native,2
17270,Brachythecium rivulare,Mossen en korstmossen,S,Native,61
17271,Brachythecium rutabulum,Mossen en korstmossen,S,Native,1183
17272,Brachythecium salebrosum,Mossen en korstmossen,S,Native,152
17273,Brachythecium velutinum,Mossen en korstmossen,S,Native,100
17274,Bryoerythrophyllum recurvirostre,Mossen en korstmossen,S,Native,161
17275,Bryum algovicum,Mossen en korstmossen,S,Native,7
17276,Bryum alpinum,Mossen en korstmossen,S,Native,4
17277,Bryum argenteum,Mossen en korstmossen,S,Native,478
17278,Bryum barnesii,Mossen en korstmossen,S,Native,210
17280,Bryum caespiticium,Mossen en korstmossen,S,Native,17
17282,Bryum capillare,Mossen en korstmossen,S,Native,785
17284,Bryum gemmiferum,Mossen en korstmossen,S,Native,22
17285,Bryum archangelicum,Mossen en korstmossen,S,Native,1
17286,Bryum intermedium,Mossen en korstmossen,S,Native,2
17287,Bryum klinggraeffii,Mossen en korstmossen,S,Native,6
17291,Bryum pallens,Mossen en korstmossen,S,Native,5
17292,Bryum pallescens,Mossen en korstmossen,S,Native,1
17293,Bryum provinciale,Mossen en korstmossen,S,Native,3
17294,Bryum pseudotriquetrum,Mossen en korstmossen,S,Native,37
17295,Bryum radiculosum,Mossen en korstmossen,S,Native,31
17296,Bryum rubens + B. bornholmense + B. microerythrocarpum,Mossen en korstmossen,M,Native,32
17297,Bryum ruderale,Mossen en korstmossen,S,Native,5
17298,Bryum tenuisetum,Mossen en korstmossen,S,Native,9
17302,Bryum violaceum,Mossen en korstmossen,S,Native,1
17304,Buxbaumia aphylla,Mossen en korstmossen,S,Native,2
17306,Calliergon cordifolium,Mossen en korstmossen,S,Native,62
17307,Calliergon giganteum,Mossen en korstmossen,S,Native,7
17309,Straminergon stramineum,Mossen en korstmossen,S,Native,23
17310,Calliergonella cuspidata,Mossen en korstmossen,S,Native,611
17311,Campyliadelphus chrysophyllus,Mossen en korstmossen,S,Native,7
17313,Campylium stellatum,Mossen en korstmossen,S,Native,16
17314,Campylophyllum calcareum,Mossen en korstmossen,S,Native,6
17316,Campylopus flexuosus,Mossen en korstmossen,S,Native,119
17317,Campylopus fragilis,Mossen en korstmossen,S,Native,1
17318,Campylopus introflexus,Mossen en korstmossen,S,Native,644
17319,Campylopus pyriformis,Mossen en korstmossen,S,Native,189
17322,Ceratodon purpureus,Mossen en korstmossen,S,Native,671
17325,Cinclidotus fontinaloides,Mossen en korstmossen,S,Native,21
17326,Cinclidotus riparius,Mossen en korstmossen,S,Native,3
17327,Cirriphyllum crassinervium,Mossen en korstmossen,S,Native,30
17328,Cirriphyllum flotowianum,Mossen en korstmossen,S,Native,2
17329,Cirriphyllum piliferum,Mossen en korstmossen,S,Native,95
17330,Climacium dendroides,Mossen en korstmossen,S,Native,182
17331,Conardia compacta,Mossen en korstmossen,S,Native,1
17332,Cratoneuron filicinum,Mossen en korstmossen,S,Native,109
17333,Cryphaea heteromalla,Mossen en korstmossen,S,Native,244
17334,Ctenidium molluscum,Mossen en korstmossen,S,Native,114
17336,Dialytrichia mucronata,Mossen en korstmossen,S,Native,1
17337,Dichodontium pellucidum,Mossen en korstmossen,S,Native,4
17338,Dicranella cerviculata,Mossen en korstmossen,S,Native,21
17340,Dicranella heteromalla,Mossen en korstmossen,S,Native,513
17341,Dicranella rufescens,Mossen en korstmossen,S,Native,2
17342,Dicranella schreberiana,Mossen en korstmossen,S,Native,23
17343,Dicranella staphylina,Mossen en korstmossen,S,Native,55
17344,Dicranella varia,Mossen en korstmossen,S,Native,41
17345,Dicranodontium denudatum,Mossen en korstmossen,S,Native,9
17346,Dicranoweisia cirrata,Mossen en korstmossen,S,Native,464
17347,Hymenoloma crispulum,Mossen en korstmossen,S,Native,1
17349,Dicranum bonjeanii,Mossen en korstmossen,S,Native,1
17350,Dicranum flagellare,Mossen en korstmossen,S,Native,1
17351,Dicranum fuscescens,Mossen en korstmossen,S,Native,1
17352,Dicranum majus,Mossen en korstmossen,S,Native,3
17353,Dicranum montanum,Mossen en korstmossen,S,Native,160
17354,Dicranum polysetum,Mossen en korstmossen,S,Native,16
17355,Dicranum scoparium,Mossen en korstmossen,S,Native,545
17357,Dicranum tauricum,Mossen en korstmossen,S,Native,96
17358,Didymodon acutus,Mossen en korstmossen,S,Native,2
17359,Didymodon fallax,Mossen en korstmossen,S,Native,76
17360,Didymodon luridus,Mossen en korstmossen,S,Native,69
17361,Didymodon nicholsonii,Mossen en korstmossen,S,Native,8
17362,Didymodon rigidulus,Mossen en korstmossen,S,Native,30
17363,Didymodon sinuosus,Mossen en korstmossen,S,Native,94
17364,Didymodon tophaceus,Mossen en korstmossen,S,Native,25
17365,Didymodon vinealis,Mossen en korstmossen,S,Native,59
17366,Diphyscium foliosum,Mossen en korstmossen,S,Native,3
17367,Distichium capillaceum,Mossen en korstmossen,S,Native,4
17369,Ditrichum cylindricum,Mossen en korstmossen,S,Native,20
17370,Ditrichum flexicaule,Mossen en korstmossen,S,Native,27
