	gbifapi_acceptedScientificName	gbifapi_acceptedKey	kingdom	datasetName	firstObservationYearBE	firstObservationYearFL	invasionStage	habitat	nativeRange	introductionPathway	presenceBE	presenceFL	presenceWA	presenceBR	gbifapi_scientificName	index
85	Alnus pubescens Tausch	2876571	Plantae	plants	1963.0		unknown	to be determined by experts	unknown	to be determined by experts	present	present	present	absent	Alnus pubescens Tausch	798
86	Alnus ×spaethii Callier	4097656	Plantae	plants	2012.0		introduced	to be determined by experts	unknown	escape > horticulture	present	present	absent	absent	Alnus ×spaethii Callier	799
87	Alopecurus magellanicus Lam.	4107552	Plantae	plants	1912.0		introduced	to be determined by experts	Europe | N. America | S. America | Asia	contaminant > contaminant on animals (except parasites, species transported by host/vector)	present	absent	present	absent	Alopecurus magellanicus Lam.	1859
88	Alopochen aegyptiaca (Linnaeus, 1766)	2498252		harmonia	1984.0		invasive	freshwater	Africa	escape > pet/aquarium/terrarium species (including live food for such species )	present	present	present	present	Alopochen aegyptiaca (Linnaeus, 1766)	30
89	Alternanthera angustifolia R. Br.	7606014	Plantae	plants	1895.0		introduced	to be determined by experts	Oceania	contaminant > contaminant on animals (except parasites, species transported by host/vector)	present	absent	present	absent	Alternanthera angustifolia R. Br.	252
90	Alternanthera caracasana Kunth	3084958	Plantae	plants	1947.0		introduced	to be determined by experts	S. America	contaminant > contaminant on animals (except parasites, species transported by host/vector)	present	absent	present	absent	Alternanthera caracasana Kunth	253
91	Alternanthera denticulata R. Br.	7655198	Plantae	plants	1895.0		introduced	to be determined by experts	Oceania	contaminant > contaminant on animals (except parasites, species transported by host/vector)	present	absent	present	absent	Alternanthera denticulata R. Br.	254
92	Alternanthera paronychioides A. St.-Hil.	6429778	Plantae	plants	1911.0		introduced	to be determined by experts	S. America	contaminant > contaminant on animals (except parasites, species transported by host/vector)	present	absent	present	absent	Alternanthera paronychioides A. St.-Hil.	256
93	Alternanthera pungens Kunth	3084949	Plantae	plants	1949.0		introduced	to be determined by experts	S. America	contaminant > contaminant on animals (except parasites, species transported by host/vector)	present	absent	present	absent	Alternanthera pungens Kunth	257
94	Alternanthera sessilis (L.) R. Br. ex DC.	3084939	Plantae	plants	1911.0		introduced	to be determined by experts	Africa | Asia | Africa | N. America | S. America | Asia | Oceania	contaminant > contaminant on animals (except parasites, species transported by host/vector)	present	absent	present	absent	Alternanthera nodiflora R. Br. | Alternanthera sessilis (L.) R. Br. ex DC.	255 | 258
95	Alternanthera tenella Colla	3084968	Plantae	plants	2001.0		introduced	to be determined by experts	S. America	contaminant > seed contaminant	present	present	absent	absent	Alternanthera tenella Colla	259
96	Alyssum desertorum Stapf	3044743	Plantae	plants	1864.0		introduced	to be determined by experts	Europe | Asia	contaminant > contaminant on animals (except parasites, species transported by host/vector)	present	present	present	absent	Alyssum desertorum Stapf	854
97	Alyssum hirsutum M.Bieb.	3045006	Plantae	plants	1879.0		introduced	to be determined by experts	Europe | Asia	unknown	present	present	absent	absent	Alyssum hirsutum M.Bieb.	855
98	Alyssum montanum L.	3044912	Plantae	plants	2002.0		unknown	to be determined by experts	Europe	escape > horticulture	present	absent	present	absent	Alyssum montanum L.	856
99	Alyssum murale Waldst. & Kit.	3045111	Plantae	plants	1850.0		established	to be determined by experts	Europe | Asia	escape > horticulture	present	absent	present	absent	Alyssum murale Waldst. & Kit.	857
100	Alyssum simplex Rudolphi	3045042	Plantae	plants	1850.0		introduced	to be determined by experts	to be determined by experts	contaminant > contaminant on animals (except parasites, species transported by host/vector) | contaminant > seed contaminant	present	present	present	present	Alyssum simplex Rudolphi	858
101	Alyssum strigosum Banks & Sol.	3045193	Plantae	plants	1909.0		introduced	to be determined by experts	Europe | Asia	unknown	present	absent	present	absent	Alyssum strigosum Banks & Sol.	859
102	Amaranthus albus L.	7905507	Plantae	plants	1857.0		established	to be determined by experts	N. America	contaminant > contaminant on animals (except parasites, species transported by host/vector) | contaminant > seed contaminant	present	present	present	present	Amaranthus albus L.	261
103	Amaranthus blitoides S. Watson	5384395	Plantae	plants	1886.0		established	to be determined by experts	N. America	contaminant > contaminant on animals (except parasites, species transported by host/vector) | contaminant > seed contaminant	present	present	present	absent	Amaranthus blitoides S. Watson	262
104	Amaranthus blitum L.	5384336	Plantae	plants	1835.0		established	to be determined by experts	Europe | Africa | Asia	contaminant > contaminant on animals (except parasites, species transported by host/vector) | contaminant > seed contaminant	present	present	present	present	Amaranthus blitum L.	263
105	Amaranthus capensis Thell.	7323340	Plantae	plants	1890.0		introduced	to be determined by experts	Africa	contaminant > contaminant on animals (except parasites, species transported by host/vector)	present	absent	present	absent	Amaranthus capensis subsp. uncinatus (Thell.) Brenan	265
106	Amaranthus caudatus L.	6109611	Plantae	plants	1874.0		introduced	to be determined by experts	Africa | N. America | S. America | Asia | Oceania	escape > horticulture	present	present	present	present	Amaranthus caudatus L.	266
