taxonID	datasetName	scientificName	synonym	kingdom	phylum	class	order	family	genus	specificEpithet	subspecies	taxonGroup	vernacularNameEN	vernacularNameNL	vernacularNameFR	status	statusCertainty	BFIS	ISEIA	spatialDistribution	invasiveness	introductionPathway	introductionMode	habitat	origin	presenceBE	presenceFL	presenceWA	presenceBR	presenceBECoast	presenceBPNS	presenceBEEZ	firstObservationYearBE	firstObservationYearFL	latestObservationYearBE	source	sourceID	riskAnalysis	publicationStatus	notes	usageKey	canonicalName	rank	matchType	confidence	acceptedKey
	plants	Chenopodiastrum simplex (Torr.) Fuentes & al.	Chenopodium simplex (Torr.) Rafin.					Amaranthaceae								Cas.						Grain?	A		NAM		X	X					1882		1970											
	plants	Chenopodium album L. x hircinum						Amaranthaceae								Cas.						Hybridization	A		Hybr.		X						1954		1954											
	plants	Chenopodium album L. x missouriense 						Amaranthaceae								Cas.						Hybridization	A		Hybr.		?	?	?				?		?											
	plants	Chenopodium album L. x probstii 						Amaranthaceae								Cas.						Hybridization	A		Hybr.		?	?	?				?		?											
	plants	Chenopodium auricomiforme Murr & Thell.						Amaranthaceae								ACCEPTED						Wool	A		AUS			X					1911		1911						3757189	Chenopodium auricomiforme	SPECIES	EXACT	100	3757189
	plants	Chenopodium berlandieri Moq.						Amaranthaceae								ACCEPTED						Ore?	A		NAM		X		X				1918		N						3083920	Chenopodium berlandieri	SPECIES	EXACT	100	3083920
	plants	Chenopodium borbasioides Ludwig ex Ascherson & Graebner						Amaranthaceae								ACCEPTED						Wool	A		SAM			X					1947		1962						7339726	Chenopodium borbasioides	SPECIES	EXACT	100	7339726
	plants	Chenopodium bushianum Aellen						Amaranthaceae								SYNONYM						Grain?	A		NAM		X						1952		1952						6447582	Chenopodium bushianum	SPECIES	EXACT	100	3757050
	plants	Chenopodium giganteum D. Don						Amaranthaceae								ACCEPTED						Grain, wool	A		AS-Tr  		X	X					1947		2005						3756077	Chenopodium giganteum	SPECIES	EXACT	100	3756077
	plants	Chenopodium hircinum Schrad.						Amaranthaceae								ACCEPTED						Wool,etc	A		SAM		X	X	X				1874		1983						3083934	Chenopodium hircinum	SPECIES	EXACT	100	3083934
	plants	Chenopodium missouriense Aellen						Amaranthaceae								ACCEPTED						Grain	A		NAM		X						2003		2003						6035721	Chenopodium missouriense	SPECIES	EXACT	100	6035721
	plants	Chenopodium opulifolium Schrad. ex W. D. J. Koch & Ziz						Amaranthaceae								ACCEPTED						Wool, grain,etc	A		E AF AS-Te		X	X	X				1857		2015						3083903	Chenopodium opulifolium	SPECIES	EXACT	100	3083903
	plants	Chenopodium pratericola Rydb.						Amaranthaceae								ACCEPTED						Grain,etc	A		NAM		X	X	X				1893		1953						3083921	Chenopodium pratericola	SPECIES	EXACT	100	3083921
	plants	Chenopodium probstii Aellen						Amaranthaceae								ACCEPTED						Grain, wool,etc	A		NAM		X	X	X				1954		2015						6035638	Chenopodium probstii	SPECIES	EXACT	100	6035638
	plants	Chenopodium quinoa Willd.						Amaranthaceae								ACCEPTED						Agric.	D		SAM		X	X					1991		1994						3083935	Chenopodium quinoa	SPECIES	EXACT	100	3083935
	plants	Chenopodium striatiforme Murr						Amaranthaceae								ACCEPTED						?	A		E		X	X					1862		1967						6035549	Chenopodium striatiforme	SPECIES	EXACT	100	6035549
	plants	Chenopodium suecicum Murr						Amaranthaceae								ACCEPTED						?	A		E AS-Te			X					1971		1971						3083905	Chenopodium suecicum	SPECIES	EXACT	100	3083905
	plants	Chenopodium x pelgrimsianum Aell. (C. album L. x bushianum)						Amaranthaceae								Cas.						Hybridization	H		Hybr.		X						1952		1952											
	plants	Chenopodium x preissmannii J. Murr (C. album L. x opulifolium)						Amaranthaceae								Cas.						Hybridization	H		Hybr.		?	?	?				?		?											
	plants	Chenopodium x reynieri Ludwig et Aellen (C. album L. x giganteum)						Amaranthaceae								Cas.						Hybridization	H		Hybr.		X						2015		2015											
	plants	Corispermum gmelini Bunge						Amaranthaceae								ACCEPTED						Grain	A		AS-Te		X						2009		2009						3759793	Corispermum gmelini	SPECIES	FUZZY	92	3759793
