taxonID	datasetName	scientificName	synonym	kingdom	phylum	class	order	family	genus	specificEpithet	subspecies	taxonGroup	vernacularNameEN	vernacularNameNL	vernacularNameFR	status	statusCertainty	BFIS	ISEIA	spatialDistribution	invasiveness	introductionPathway	introductionMode	habitat	origin	presenceBE	presenceFL	presenceWA	presenceBR	firstObservationYearBE	firstOservationYearFL	latestObservationYearBE	source	sourceID	riskAnalysis	publicationStatus	notes
	rinse				Angiospermae	Eudicotyledoneae			Amaranthus	capensis														terrestrial		present											data based solely on DAISIE portal
	rinse				Angiospermae	Eudicotyledoneae			Amaranthus	caudatus														terrestrial		present											data based solely on DAISIE portal
	rinse				Angiospermae	Eudicotyledoneae			Amaranthus	clementii														terrestrial		present											
	rinse				Angiospermae	Eudicotyledoneae			Amaranthus	crispus														terrestrial		present											data based solely on DAISIE portal
	rinse				Angiospermae	Eudicotyledoneae			Amaranthus	cruentus														terrestrial		present											data based solely on DAISIE portal
	rinse				Angiospermae	Eudicotyledoneae			Amaranthus	deflexus														terrestrial		present											data based solely on DAISIE portal
	rinse				Angiospermae	Eudicotyledoneae			Amaranthus	graecizans														terrestrial		present											data based solely on DAISIE portal
	rinse				Angiospermae	Eudicotyledoneae			Amaranthus	hybridus														terrestrial		present											
	rinse				Angiospermae	Eudicotyledoneae			Amaranthus	hybridus  hybridus														terrestrial		present											
	rinse				Angiospermae	Eudicotyledoneae			Amaranthus	hypochondriacus														terrestrial		present											data based solely on DAISIE portal
	rinse				Angiospermae	Eudicotyledoneae			Amaranthus	macrocarpus macrocarpus														terrestrial		present											
	rinse				Angiospermae	Eudicotyledoneae			Amaranthus	macrocarpus pallidus														terrestrial		present											
	rinse				Angiospermae	Eudicotyledoneae			Amaranthus	mitchellii														terrestrial		present											
	rinse				Angiospermae	Eudicotyledoneae			Amaranthus	muricatus														terrestrial		present											
	rinse				Angiospermae	Eudicotyledoneae			Amaranthus	palmeri														terrestrial		present											data based solely on DAISIE portal
	rinse				Angiospermae	Eudicotyledoneae			Amaranthus	polygonioides														terrestrial		present											
	rinse				Angiospermae	Eudicotyledoneae			Amaranthus	quitensis														terrestrial		present											data based solely on DAISIE portal
	rinse				Angiospermae	Eudicotyledoneae			Amaranthus	retroflexus														terrestrial		present											
	rinse				Angiospermae	Eudicotyledoneae			Amaranthus	spinosus														terrestrial		present											
	rinse				Angiospermae	Eudicotyledoneae			Amaranthus	standleyanus														terrestrial		present											data based solely on DAISIE portal
	rinse				Angiospermae	Eudicotyledoneae			Amaranthus	thunbergii														terrestrial		present											data based solely on DAISIE portal
	rinse				Angiospermae	Eudicotyledoneae			Amaranthus	tricolor														terrestrial		not confirmed											
	rinse				Angiospermae	Eudicotyledoneae			Amaranthus	tuberculatus														terrestrial		present											
	rinse				Angiospermae	Eudicotyledoneae			Amaranthus	viridis														terrestrial		present											
	rinse				Angiospermae	Eudicotyledoneae			Amaranthus	x alleizettei														terrestrial		not confirmed											
	rinse				Angiospermae	Eudicotyledoneae			Amaranthus	x galii														terrestrial		not confirmed											
	rinse				Angiospermae	Eudicotyledoneae			Amaranthus	x ozanonii														terrestrial		present											data based solely on DAISIE portal
	rinse				Angiospermae	Eudicotyledoneae			Amaranthus	x ralletii														terrestrial		present											
	rinse				Angiospermae				Amaryllis	belladona														terrestrial		not confirmed											data based solely on DAISIE portal
	rinse				Angiospermae	Eudicotyledoneae			Ambrosia	artemisiifolia														terrestrial		present											
	rinse				Angiospermae	Eudicotyledoneae			Ambrosia	coronopifolia														terrestrial		present											data based solely on DAISIE portal
