Taxon	Synonym	Family	M/I	FR	MRR	Origin	Presence_Fl	Presence_Br	Presence_Wa	D/N	V/I
Hedera maroccana McAllister		Araliaceae	D	2010	2010	AF	X			Cas.	Hort.
Hydrocotyle novae-zelandiae DC.		Araliaceae	A	1984	N	AUS	X			Nat.	?
Hydrocotyle ranunculoides L. f.		Araliaceae	D	1992	N	NAM	X	X	X	Inv.	Hort.
Hydrocotyle verticillata Thunb.		Araliaceae	D	2009	2014	AM	X			Cas.	Hort.
Araucaria araucana (Molina) K. Koch		Araucariaceae	D	2009	2009	SAM		X		Cas.	Hort.
Phoenix dactylifera L.		Arecaceae	D	1945	2015	AF AS-Te	X	X	X	Cas.	Food refuse
Trachycarpus fortunei (Hook.) H. Wendl.		Arecaceae	D	2015	2015	AS-Te	X			Cas.	Hort.
Aristolochia clematitis L.		Aristolochiaceae	D	1828	N	E AS-Te	X	X	X	Nat.	Hort.
Aristolochia rotunda L.		Aristolochiaceae	A	1952	1952	E		X		Cas.	?
Asarum europaeum L.		Aristolochiaceae	D	1811	N	E AS-Te	X		X	Nat.	Hort.
Isotrema macrophyllum (Lam.) C. Reed	Aristolochia macrophylla Lam.	Aristolochiaceae	D	<1999	N?	NAM			X	Nat.?	Hort.
Agave americana L.		Asparagaceae	D	2007	2007	NAM			X	Cas.	Hort.
Camassia leichtlinii (Baker) S. Watson subsp. suksdorfii (Greenman) Gould		Asparagaceae	D	2013	2014	NAM	X			Cas.	Hort.
Chionodoxa luciliae Boiss.		Asparagaceae	D	1984	N?	AS-Te	X	X	X	Nat.?	Hort.
Chionodoxa sardensis Whittall ex Barr et Sugd.		Asparagaceae	D	1987	N?	AS-Te		X		Nat.?	Hort.
Chlorophytum comosum group		Asparagaceae	D 	2011	2015	Cult.	X			Cas.	Hort.
Danae racemosa (L.) Moench		Asparagaceae	D	2015	2015	AS-Te	X			Cas.	Hort.
Honorius nutans (L.) Gray	Ornithogalum nutans L.	Asparagaceae	D/A	<1835	2014	E AS-Te	X	X	X	Cas.	Hort., seeds
Hosta spec.		Asparagaceae	D	2005	2015	?	X			Cas.	Hort.
Hyacinthoides hispanica (Mill.) Rothm.		Asparagaceae	D	1882	N	E AF	X	X	X	Nat.	Hort.
Hyacinthoides x massartiana Geerinck (H. hispanica x non-scripta (L.) Chouard ex Rothm.)		Asparagaceae	D	1977	N	Hybr.	X	X	X	Inv.	Hort.
Hyacinthus orientalis L.		Asparagaceae	D	1977	2015	AS-Te	X		X	Cas.	Hort.
