Taxon	Synonym	Family	M/I	FR	MRR	Origin	Presence_Fl	Presence_Br	Presence_Wa	D/N	V/I
Loncomelos brevistylus (Wolfner ) Dostál 	Ornithogalum pyramidale L., O. brevistylum Wolfner	Asparagaceae	D	1987	2013	E	X		X	Cas.?	Hort.
Loncomelos narbonense (L.) Raf.	Ornithogalum narbonense L.	Asparagaceae	A	2001	2011	E AF AS-Te	X			Cas.	Grain
Maianthemum dilatatum (Alph. Wood) A. Nelson & J. F. Macbride		Asparagaceae	D	2013	2013	NAM AS-Te	X			Cas.?	Hort.
Muscari armeniacum Leichtlin ex Baker		Asparagaceae	D	1975?	N	E AS-Te	X		X	Nat.	Hort.
Muscari latifolium Kirk.		Asparagaceae	D	2014	2014	AS-Te	X			Cas.	Hort.
Ornithogalum divergens Boreau 	O. umbellatum subsp. divergens (Boreau) Bonnier et Layens	Asparagaceae	D	1919	N?	E AS-Te	X	X	X	Nat.?	Hort.
Polygonatum x hybridum Brügger (P. odoratum (Mill.) Druce x P. multiflorum (L.) All.)		Asparagaceae	D	2009	2015	Cult.	X			Cas.	Hort.
Ruscus aculeatus L.		Asparagaceae	D	<1800	2013	E AF AS-Te	X		X	Cas.	Hort.
Scilla siberica Haw.		Asparagaceae	D	1984	N?	AS-Te	X	X	X	Nat.?	Hort.
Yucca flaccida Haworth	Y. filamentosa L. s.l.	Asparagaceae	D	2001	N?	NAM	X			Nat.?	Hort.
Yucca gloriosa L.		Asparagaceae	D	2001	N	NAM	X		X	Nat.	Hort.
Acanthospermum hispidum DC.		Asteraceae	A	1997	2005	SAM	X			Cas.	Grain
Achillea ageratum L.		Asteraceae	D	1953	1960	E AF	X			Cas.	Hort.
Achillea cartilaginea Ledeb. ex Reichenb. s.l.	Incl. A. salicifolia Besser	Asteraceae	D?	1986	1986	E AS-Te	X			Cas.	Hort.
Achillea collina J. Becker ex Reichenb.		Asteraceae	A	?	N?	E	X			Nat.?	Ore?
Achillea filipendulina Lam.		Asteraceae	D	1944	2015	AS-Te	X		X	Cas.	Hort.
Achillea nobilis L.		Asteraceae	A/D	1880	N	E AS-Te	X	X	X	Nat.	Grain, wool, hort.
Achillea setacea Waldst. et Kit.		Asteraceae	A	1885	1886	E AS-Te	X			Cas.	Grain?
Acmella spec.		Asteraceae	A	1955	1955	Trop.			X	Cas.	Wool
Acmella oleracea (L.) R.K.Jansen		Asteraceae	D	2008	2008	SAM	X			Cas.	Hort.
Adenostyles alliariae (Gouan) A. Kerner		Asteraceae	A?	1971	1971	E			X	Cas.	?
Ageratina altissima (L.) King et Robinson 	Eupatorium rugosum Houtt.	Asteraceae	D?	1953	2011	NAM			X	Cas.	Hort.?
Ageratum houstonianum Mill.		Asteraceae	D	1908	2014	AM	X	X	X	Cas.	Hort.
Amberboa moschata (L.) DC.	Centaurea moschata L.	Asteraceae	D	1952	1952	E AS		X		Cas.	Hort.
Ambrosia artemisiifolia L.		Asteraceae	A	1883	N?	NAM	X	X	X	Nat.?	Grain, wool,…
Ambrosia psilostachya DC.	Ambrosia coronopifolia Torr. et A. Gray	Asteraceae	A	1917	N	NAM	X	X	X	Nat.	Ore,…
Ambrosia trifida L.		Asteraceae	A	1829	2012	NAM	X	X	X	Cas.	Grain, wool,…
Amphiachyris dracunculoides (DC.) Nutt.	Gutierrezia dracunculoides (DC.) S.T. Blake	Asteraceae	A	1991	1991	NAM	X			Cas.	Ore?
Anacyclus clavatus (Desf.) Pers.		Asteraceae	A	1911	2015	E AF AS-Te	X		X	Cas.	Grain, wool
Anacyclus radiatus Loisel.		Asteraceae	A	1998	1999	E AF AS-Te	X			Cas.	Grain
Anacyclus valentinus L.		Asteraceae	A	1913	1932	E AF	X		X	Cas.	?
Anaphalis margaritacea (L.) Benth.		Asteraceae	D	<1850	2015	NAM AS-Te	X	X	X	Cas.	Hort.
Anaphalis triplinervis (Sims.) C.B. Clarke		Asteraceae	D	2005	2005	AS-Te	X			Cas.	Hort.
Anthemis ruthenica Bieb.		Asteraceae	A	1828	2012	E AS-Te	X			Cas.	Grain,…
Arctotheca calendula (L.) Levyns		Asteraceae	A	1902	2014	AF	X		X	Cas.	Grain, wool
Artemisia abrotanum L.		Asteraceae	D	1872	2015	?	X		X	Cas.	Agric.
Artemisia afra Jacq.		Asteraceae	A	1893	1900	AF			X	Cas.	Wool
Artemisia annua L.		Asteraceae	A	1891	N	E AS-Te	X	X		Nat.	Wool,…
Artemisia austriaca Jacq.		Asteraceae	A	1944	1957	E	X		X	Ext.	?
Artemisia biennis Willd.		Asteraceae	A	1895	Ann.	NAM AS-Te	X	X	X	Cas.	Grain,…
Artemisia campestris L. subsp. maritima Arcang.		Asteraceae	D	2001	N	E	X			Nat.	Hort.
Artemisia dracunculus L.		Asteraceae	D	1817?	N?	E AS-Te NAM	X	X	X	Nat.?	Agric.
Artemisia ludoviciana Nutt.		Asteraceae	A	1902	2015	NAM 	X		X	Cas.	Hort., wool
Artemisia pontica L.		Asteraceae	D	<1850	1949	E AS-Te	X	X	X	Cas.	Hort.
Artemisia princeps Pamp.		Asteraceae	A	2011	N	AS-Te	X			Nat.	?
Artemisia scoparia Waldst. et Kit.		Asteraceae	A	1911	2000	E AS-Te	X		X	Cas.	Wool, grain,…
Artemisia sieversiana Ehrh.		Asteraceae	A	2011	2015	E AS-Te	X			Cas. 	Grain
Artemisia verlotiorum Lamotte		Asteraceae	A	1937	N	AS-Te	X	X	X	Nat.	?
Aster ageratoides Turcz.		Asteraceae	D	2014	2015	AS-Te	X			Cas.	Hort.
Aster amellus L.		Asteraceae	D	<1951	<1951	E AS-Te		X		Cas.	Hort.
Asteriscus aquaticus (L.) Less.		Asteraceae	A	1911	1911	E AF AS-Te			X	Cas.	Wool
Athanasia trifurcata L.		Asteraceae	A	1909	1912	AF			X	Cas.	Wool
Baccharis halimifolia L.		Asteraceae	D	1924	N	NAM	X			Inv.	Hort.
Bidens bipinnata L.		Asteraceae	A	1885	1915	SAM	X		X	Cas.	Grain?
Bidens connata Muhlenb. ex Willd.		Asteraceae	A	1920	N	NAM	X		X	Nat.	Waterfowl?
Bidens frondosa L. var. anomala Porter ex Fernald		Asteraceae	A	1979	N?  	AM	X		X	Nat.?	Waterfowl?
Bidens frondosa L. var. frondosa		Asteraceae	A	1886?	N	AM	X	X	X	Inv.	Waterfowl?
Bidens pilosa L.		Asteraceae	A	1903	2015	SAM	X		X	Cas.	Wool, grain,…
Bidens radiata Thuill.		Asteraceae	A	2005	2015	E AS-Te	X			Cas.	Fish
Bidens subalternans DC.		Asteraceae	A	1903	2004	SAM	X		X	Cas.	Wool, grain,…
Bidens triplinervia Humb., Bonpl. et Kunth var. macrantha (Wedd.) Sherff		Asteraceae	D	2000	2014	SAM	X			Cas.	Hort.
Bidens vulgata E. Greene		Asteraceae	A	2000	2001	NAM	X			Cas.	Grain
Brachycome heterodonta DC.		Asteraceae	A	1892	1892	AUS			X	Cas.	Wool
Calendula arvensis L.		Asteraceae	A	1859	2014	E AF AS-Te		X	X	Cas.	Grain?
Calendula officinalis L.		Asteraceae	D	1858	Ann.	?	X	X	X	Cas.	Hort.
Callistephus chinensis (L.) Nees		Asteraceae	D	1930	2014	AS-Te	X		X	Cas.	Hort.
Calotis cuneifolia R.Brown		Asteraceae	A	1895	1963	AUS			X	Cas.	Wool
Calotis hispidula F. Muell.		Asteraceae	A	1898	1949	AUS			X	Cas.	Wool
Calotis lappulacea Benth.		Asteraceae	A	1902	1940	AUS			X	Cas.	Wool
Carduus acanthoides L.		Asteraceae	A	1866?	N	E AS-Te	X	X	X	Nat.	?
Carduus hamulosus Ehrh.		Asteraceae	A	1876	1877	E AS-Te	X			Cas.	Seeds
Carduus nutans L. subsp. leiophyllus (Petrovič) Arènes		Asteraceae	A?	1908	2012	E AF AS-Te	X	X	 	Cas.	Grain,...
Carduus pycnocephalus L.		Asteraceae	A	<1850	2015	E AF AS-Te	X		X	Cas.	Grain, wool,…
Carduus vivariensis Jord.		Asteraceae	A	1897	1965	E	X		X	Cas.	Seeds,…
Carduus x theriotii Rouy (C. pycnocephalus x tenuiflorus Curt.)		Asteraceae	A	<1850	1892	Hybr.			X	Cas.	Hybridization
Carthamus lanatus L.		Asteraceae	A	1940	2015	E AF AS-Te	X		X	Cas.	Wool, grain,…
Carthamus tinctorius L.		Asteraceae	D	1893	Ann.	Cult.	X	X	X	Cas.	Birdseed
Catananche caerulea L.		Asteraceae	D	1953	1953	E AF	X			Cas.	Hort.
Centaurea alba L.		Asteraceae	A	<1850	<1850	E	?	?	?	Cas.	?
Centaurea algeriensis Coss. et Durieu	Centaurea diluta Ait. subsp. algeriensis (Coss. et Durieu) Maire	Asteraceae	A	1918	1918	AF	X		 	Cas.	Grain?
Centaurea aspera L.		Asteraceae	A	1872	1983	E	X	 	X	Cas.	Ore?
Centaurea benedicta (L.) L.	Cnicus benedictus L.	Asteraceae	A/D	1886	1953	E AF AS-Te	X		X	Cas.	Agric.,…
Centaurea calocephala Willd.	Centaurea atropurpurea Waldst. & Kit. 	Asteraceae	D	2014	2014	E	X			Cas.	Hort.
Centaurea diffusa Lam.		Asteraceae	A	1877	1944	E AS-Te	X	X	X	Cas.	Wool,…
Centaurea diluta Ait. 		Asteraceae	A	1918	2015	E AF  	X	X	X	Cas.	Grain?
Centaurea glaberrima Tausch		Asteraceae	A	<1850	<1850	E			X	Cas.	?
Centaurea hyalolepis Boiss.		Asteraceae	A	1954	1955	E AS-Te	X		X	Cas.	?
Centaurea macrocephala Willd.		Asteraceae	D	1940	2012	AS-Te		X	X	Cas.	Hort.
Centaurea melitensis L.		Asteraceae	A	1848	2012	E AF AS-Te	X	X	X	Cas.	Grain, wool,…
Centaurea nigrescens Willd.	Centaurea jacea L. subsp. nigrescens (Willd.) Čelak.	Asteraceae	A	1826	N?	E	X		X	Nat.?	?
Centaurea orientalis L.		Asteraceae	A	1893	1894	E AS-Te			X	Cas.	Grain?
Centaurea paniculata L.		Asteraceae	A	1895	1895	E			X	Cas.	?
Centaurea pectinata L.		Asteraceae	A	2004	2004	E			X	Cas.	?
Centaurea phrygia L.		Asteraceae	A?	<1850	<1850	E			X	Cas.	?
Centaurea solstitialis L. subsp. adamii (Willd.) Nyman		Asteraceae	A	1927	2012	E AS-Te	X		X	Cas.	Grain
Centaurea solstitialis L. subsp. solstitialis		Asteraceae	A	1824	2014	E AF AS-Te	X	X	X	Cas.	Grain, wool,…
Centaurea stoebe L.		Asteraceae	A	1882	2015	E	X		X	Cas.	Ore?
Centaurea x extranea Beck (C. jacea L. x nigrescens)		Asteraceae	A	1863	1915	Hybr.			X	Cas.	Hybridization
Centaurea x nemenyiana J. Wagner (C. thuillieri (Dostal) Duvigneaud et Lambinon x nigrescens)		Asteraceae	A	1840	1840	Hybr.			X	Cas.	Hybridization
Centaurea x psammogena Gáyer (C. diffusa x stoebe)		Asteraceae	A	2006	2006	E AS-Te			X	Cas.	Ore?
Centipeda minima (L.) A. Braun et Aschers.		Asteraceae	A	1910	1911	AS-Tr AUS			X	Cas.	Wool
Chamaemelum nobile (L.) All.	Anthemis nobilis L.	Asteraceae	D	<1850	1985	E	X	X	X	Cas.	Hort.
Chondrilla juncea L.		Asteraceae	A	2004	N?	E AF AS-Te	X			Nat.?	Urban weed
Cicerbita macrophylla (Willd.) Wallr. subsp. macrophylla	Lactuca macrophylla (Willd.) A. Gray subsp. macrophylla	Asteraceae	D	1989	N	E AS-Te			X	Nat.	Hort.
Cicerbita macrophylla (Willd.) Wallr. subsp. uralensis (Rouy) P.D. Sell	Lactuca macrophylla (Willd.) A. Gray subsp. uralensis (Rouy) N. Kilian et Greuter	Asteraceae	D	1948	N	E AS-Te	X		X	Nat.	Hort.
Cichorium calvum Schultz-Bip.		Asteraceae	A	2012	2012	AF	X			Cas.	Birdseed
Cichorium endivia L. subsp. endivia		Asteraceae	D	<1850	2015	E AF AS 	X	X	X	Cas.	Agric.
Cichorium pumilum Jacq.	Cichorium endivia L. subsp. pumilum (Jacq.) Ball	Asteraceae	A	1955	2015	E AF AS	X		X	Cas.	Grain
Cirsium heterophyllum (L.) Hill		Asteraceae	D	1918	N	E AS-Te	 	X	X	Nat.	Hort.
Cirsium rivulare (Jacq.) All.		Asteraceae	D	1972	N	E	X			Nat.	Grass seed
Cirsium x subalpinum Gaudin (C. palustre (L.) Scop. x rivulare)		Asteraceae	H	>1972	?	Hybr.	X			Cas.	Hybridization
Cladanthus mixtus (L.) Chevall.	Anthemis mixta L.	Asteraceae	A	1854	2015	E AF AS-Te	X	X	X	Cas.	Grain,…
Coreopsis lanceolata L.		Asteraceae	D	2001	N	NAM	X			Nat.	Hort.
Coreopsis tinctoria Nutt.		Asteraceae	D/A	1946	2015	NAM	X		X	Cas.	Hort., grain, wool
Coreopsis verticillata L.		Asteraceae	D	1958	2015	NAM	X			Cas.	Hort.
Cosmos bipinnatus Cav.		Asteraceae	D	1954	Ann.	NAM	X		X	Cas.	Hort.
Cosmos sulphureus Cav.		Asteraceae	D	2015	2015	SAM	X			Cas.	Hort.
Cota altissima (L.) J. Gay	Anthemis altissima L.	Asteraceae	A	1869	2015	E AS-Te	X		X	Cas.	Grain, wool,…
Cota austriaca (Jacq.) Schultz-Bip.	Anthemis austriaca Jacq.	Asteraceae	A	1887	2015	E AS-Te	X		X	Cas.	Grain, wool,…
Cotula anthemoides L.		Asteraceae	A	1896	1896	AF AUS			X	Cas.	Wool
Cotula australis (Sieber ex Spreng.) Hook. f.		Asteraceae	A	1889	2015	AUS		X	X	Cas.	Wool, ...
Cotula coronopifolia L.		Asteraceae	A	1895	N?	AF AUS	X		X	Nat.?	Wool,…
Cotula turbinata L.	Cenia turbinata (L.) Pers.	Asteraceae	A	1947	1951	AF			X	Cas.	Wool
Crepis foetida L. subsp. rhoeadifolia (Bieb.) Čelak. 		Asteraceae	A	2003	N	E AS-Te	X			Nat.	Ore?
Crepis nicaeensis Balb.		Asteraceae	A	1860	1908	E 	X		X	Cas.	Seeds
Crepis pulchra L.		Asteraceae	A	1842	2015	E AF AS-Te	X		X	Cas.	Grain, …
Crepis sancta (L.) Bornm. subsp. nemausensis (Vill.) Babc.		Asteraceae	A	1948	1996	E AF AS-Te	X	X	X	Cas.	Ore,…
Crepis setosa Haller f.		Asteraceae	A	1862	N	E AS-Te	X	X	X	Nat.	Seeds,…
Crepis tectorum L.		Asteraceae	A	1842	2015	E	X	X	X	Cas.	Grain,…
Cyanus depressa (Bieb.) Soják 	Centaurea depressa Bieb.	Asteraceae	A	1909	1922	AS-Te		X	X	Cas.	Wool,…
Cyanus triumfettii (All.) Á. Löve & D. Löve 	Centaurea triumfetti All.	Asteraceae	A	1911	1911	E AF AS-Te			X	Cas.	Grain?
Cyclachaena xanthiifolia (Nutt.) Fresen.	Iva xanthiifolia Nutt.	Asteraceae	A	1908	Ann.	NAM	X	X	X	Cas.	Grain,…
Dahlia coccinea Cav.		Asteraceae	D	2015	2015	NAM	X			Cas.	Hort.
Dahlia x cultorum hort.		Asteraceae	D	1997	2015	Cult.	X		X	Cas.	Hort.
Dimorphotheca pluvialis (L.) Moench		Asteraceae	D	2007	2014	AF	X			Cas.	Hort.
Dittrichia graveolens (L.) Greuter		Asteraceae	A	1895	N	E AF AS-Te	X		X	Nat.	Ore, wool
Dittrichia viscosa (L.) Greuter		Asteraceae	A	1907	N	E AF AS-Te	X		X	Nat.	Ore
Doronicum columnae Ten.		Asteraceae	D	1886	N	E	X		X	Nat.	Hort.
Doronicum x excelsum (N.E. Brown) Stace (D. columnae Ten. x pardalianches L. x plantagineum L.)		Asteraceae	D	1867	N?	Cult.			X	Nat.?	Hort.
Doronicum x willdenowii (Rouy) A.W. Hill (? D. pardalianches L. x plantagineum L.)		Asteraceae	D	1824	N	E	X	X	X	Nat.	Hort.
Echinops banaticus Rochel ex Schrad.		Asteraceae	D	1841	2015	E 	X	X	X	Cas.?	Hort.
Echinops exaltatus Schrad.		Asteraceae	D	1926	N	E	X		X	Nat.	Hort.
Echinops sphaerocephalus L.		Asteraceae	D	1821	1953	E AS-Te	X		X	Ext.?	Hort.
Eclipta prostrata (L.) L.		Asteraceae	A	2000	2000	Trop.	X			Cas.	Grain
Emilia fosbergii Nicolson		Asteraceae	A	1997	1997	AS	X			Cas.	Grain
Erigeron annuus (L.) Desf. s.l.		Asteraceae	D	1813	N	NAM	X	X	X	Nat.	Hort.
Erigeron bonariensis L.	Conyza bonariensis (L.) Cronq.	Asteraceae	A	1892	N	SAM	X	X	X	Nat.	Wool,…
Erigeron canadensis L.	Conyza canadensis (L.) Cronq.	Asteraceae	A	1822	N	NAM	X	X	X	Nat.	Ore,…
Erigeron floribundus (Kunth) Schultz-Bip.	Conyza bilbaoana J. Rémy	Asteraceae	A	2000	N	SAM	X	X	X	Nat.	Ore,…
Erigeron karvinskianus DC.		Asteraceae	D	2000	N	NAM	X		X	Nat.	Hort.
Erigeron pampeanus Parodi	Conyza pampeana (Parodi) Cabrera	Asteraceae	A	1911	1911	SAM			X	Cas.	Wool
Erigeron philadelphicus L.		Asteraceae	D	1945	1945	NAM		X		Cas.	Hort.
Erigeron speciosus (Lindl.) DC.		Asteraceae	D	1869	1887	NAM	X		X	Cas.	Hort.
Erigeron sumatrensis Retz.	Conyza sumatrensis (Retz.) E. Walker	Asteraceae	A	1990	N	SAM	X	X	X	Nat.	Ore,…
Erigeron x flahaultianus Thell.	Conyza x mixta Foucaud et Neyraut (C. bonariensis x canadensis)	Asteraceae	A	2002	2002	Hybr.	X			Cas.	Hybridization
Erigeron x huelsenii Vatke 	x Conyzigeron huelsenii (Vatke) Rauschert (Conyza canadensis x Erigeron acer)	Asteraceae	A	2008	2008	Hybr.			X	Cas.	Hybridization
Euchiton sphaericus (Willd.) Holub	Gnaphalium sphaericum Willd.	Asteraceae	A	1892	1912	AS AUS			X	Cas.	Wool
Eupatorium perfoliatum L.		Asteraceae	A?	2007	2008	NAM	X			Cas.	Hort.
Eurybia divaricata (L.) Nesom	Aster divaricatus L.	Asteraceae	D	1946	N	NAM	X		X	Nat.	Hort.
Euthamia graminifolia (L.) Nutt.	Solidago graminifolia (L.) Salisb.	Asteraceae	D	<1900	1978	NAM	X		X	Cas.	Hort.
Eutrochium maculatum (L.) E.E. Lamont 	Eupatorium maculatum L.	Asteraceae	D	2004	N	NAM	X			Nat.	Hort.
Eutrochium purpureum (L.) E.E. Lamont	Eupatorium purpureum L.	Asteraceae	D	2009	2009	NAM	X			Cas.	Hort.
Facelis retusa (Lam.) Schultz-Bip.		Asteraceae	A	1895	1895	SAM			X	Cas.	Wool
Felicia tenella (L.) Nees		Asteraceae	A	1911	1911	AF			X	Cas.	Wool
Gaillardia x grandiflora Van Houtte (G. aristata Pursh x pulchella Foug.)		Asteraceae	D	1946	N	Hybr.	X			Inv.	Hort.
Galactites elegans (All.) Nyman ex Soldano	Galactites tomentosa Moench	Asteraceae	A	1912	1912	E AF AS-Te			X	Cas.	Wool
Galatella sedifolia (L.) Greuter	Aster sedifolius L.	Asteraceae									
Galinsoga parviflora Cav.		Asteraceae	A	1873	N	SAM	X	X	X	Nat.	Nurseries?
Galinsoga quadriradiata Ruiz et Pav.		Asteraceae	A	1920	N	SAM	X	X	X	Nat.	Nurseries?
Gamochaeta antillana (Urban) Anderberg	Gnaphalium antillanum Urban	Asteraceae	A	1901	1911	AM			X	Cas.	Wool
Gamochaeta pensylvanica (Willd.) Cabrera	Gnaphalium pensylvanicum Willd.	Asteraceae	A	1891	2014	AM	X		X	Cas.	Urban weed, nurseries
Glebionis coronaria (L.) Tzvelev	Chrysanthemum coronarium L.	Asteraceae	A	1903	2015	E AF AS-Te	X		X	Cas.	Grain,…
Grindelia squarrosa (Pursh) Dun.		Asteraceae	A	1920	2007	NAM	X			Cas.	Grain,…
Guizotia abyssinica (L. f.) Cass.		Asteraceae	D	1908	Ann.	AF	X	X	X	Cas.	Birdseed
Gutenbergia rueppellii Schultz-Bip.		Asteraceae	A	2013	2013	AF	X			Cas.	Grain
Helenium autumnale L.		Asteraceae	D	1948	1948	NAM	X			Cas.	Hort.
Helenium x clementii Verloove et Lambinon	Helenium autumnale x H. bigelovii A. Gray x H. flexuosum Raf.	Asteraceae	D	1972	1972	Cult.			X	Cas.	Hort.
Helianthus annuus L.		Asteraceae	D	1915	Ann.	NAM	X	X	X	Cas.	Birdseed,…
Helianthus debilis Nutt.		Asteraceae	A	1911	1954	NAM		X	X	Cas.	Wool,…
Helianthus decapetalus L.		Asteraceae	D	2011	2011	NAM	X			Cas.	Hort.
Helianthus laetiflorus Pers.		Asteraceae	D	1923	N	NAM	X	X	X	Nat.	Hort.
Helianthus petiolaris Nutt.		Asteraceae	A	1949	1949	NAM	X			Cas.	Grain?
Helianthus salicifolius A. Dietrich		Asteraceae	D	1952	1952	NAM	X			Cas.	Hort.
Helianthus tuberosus L.		Asteraceae	D	1893	N	NAM	X	X	X	Inv.	Hort., agric.
Helichrysum italicum (Roth) G. Don		Asteraceae	D	2009	2015	E	X			Cas.	Hort.
Helichrysum petiolare Hilliard et B.L. Burtt		Asteraceae	D	2008	2014	AF	X			Cas.	Hort.
Heliopsis helianthoides (L.) Sweet	Incl. H. scabra Dun.	Asteraceae	D	2006	2015	NAM	X			Cas.	Hort.
Helipterum floribundum DC.		Asteraceae	A	1894	1894	AUS			X	Cas.	Wool
Helipterum strictum (Lindl.) Benth.		Asteraceae	A	1891	1891	AUS			X	Cas.	Wool
Hemizonia fasciculata Torr. et A. Gray		Asteraceae	A	1922	1922	NAM	X			Cas.	Grain?
Hemizonia pungens (Hook. et Arnott) Torr. et A. Gray		Asteraceae	A	1922	1922	NAM		X		Cas.	Grain?
Heteranthemis viscidehirta Schott	Chrysanthemum viscidehirtum (Schott) Thell.	Asteraceae	D	1954	1954	E AF AS-Te	X			Cas.	Hort.
Hieracium amplexicaule L. subsp. speluncarum (Arv.-Touv.) Zahn		Asteraceae	D	1873	N	E 	X			Nat.	Hort.
Hieracium glaucinum Jord. subsp. recensitum (Jord. ex Boreau) Gottschlich	H. scotostictum Hyl. ?	Asteraceae	D?	ca. 1985?	N	E	X			Nat.	Hort.?
Hieracium pilosum Schleich. ex Froel.		Asteraceae	D?	<1890	<1890	E			X	Cas.	Hort.?
Hieracium speciosum Willd. ex Hornem.		Asteraceae	D	<1850	<1850	E			X	Cas.	Hort.
Hypochaeris microcephala (Schultz-Bip.) Cabrera		Asteraceae	A	1895	1895	SAM			X	Cas.	Wool
Inula helenium L.		Asteraceae	D	1813	N	E AS-Te	X		X	Nat.	Hort.
Inula hirta L.		Asteraceae	D?	1850	<1900	E			X	Cas.	Hort.?
Inula racemosa Hook.		Asteraceae	D	2001	N	AS-Te	X		X	Nat.	Hort.
Inula spiraeifolia L.		Asteraceae	D	1868	1874	E			X	Cas.	Hort.
Iva annua L.		Asteraceae	A	1994	2000	NAM	X			Cas.	Grain
Jacobaea maritima (L.) Pelser et Meijden	Senecio cineraria DC.	Asteraceae	D	1892	N	E AF AS-Te	X		X	Nat.	Hort.
Lactuca sativa L.		Asteraceae	D	1857	Ann.	?	X	X	X	Cas.	Agric.
Leucanthemella serotina (L.) Tzvelev		Asteraceae	D	1928	1955	E	X		X	Cas.	Hort.
Leucanthemum x superbum (Bergm. ex J. Ingram) D.H. Kent (L. lacustre (Brot.) Samp. x maximum (Ramond) DC.)		Asteraceae	D	2002	N?	Cult.	X		X	Nat.?	Hort.
Leysera tenella DC.		Asteraceae	A	1911	1911	AF			X	Cas.	Wool
Liatris spicata (L.) Willd.		Asteraceae	D	2011	2015	NAM	X		X	Cas.	Hort.
Ligularia dentata (A. Gray) H. Hara		Asteraceae	D	2010	2015	AS-Te	X			Cas.	Hort.
Madia sativa Molina		Asteraceae	A	1941	1941	AM	X			Cas.	Seeds  
Matricaria discoidea DC.		Asteraceae	A	1893	N	NAM AS-Te	X	X	X	Nat.	Grain?
Matricaria recutita L. var. coronata (J. Gay ex Boiss.) Fertig		Asteraceae	A	1886	1886	E AF AS-Te			X	Cas.	Wool
Mauranthemum paludosum (Poir.) Vogt & Oberpr. 	Leucanthemum paludosum (Poiret) Bonnet et Barratte	Asteraceae	D	2000	2014	E AF	X		X	Cas.	Hort.
Melampodium montanum Benth.		Asteraceae	D	2003	2015	AM	X			Cas.	Hort.
Melampodium perfoliatum (Cav.) Humb., Bonpl. et Kunth		Asteraceae	A	1995	2005	AM	X			Cas.	Grain
Microlonchus salmanticus (L.) DC.	Mantisalca salmantica (L.) Briq. et Cav.	Asteraceae	A	1877	1890	E AF	X			Cas.	Grain
Notobasis syriaca (L.) Cass.		Asteraceae	A	1909	2014	E AF AS-Te			X	Cas.	Grain
Onopordum macracanthum Schousb.		Asteraceae	D	1973	1973	E AF	X			Cas.	Hort.
Onopordum tauricum Willd.		Asteraceae	D?	2014	2014	E AS-Te	X			Cas.	Hort.?
Osteospermum jucundum (Phillips) Norlindh		Asteraceae	D	2003	2003	AF	X			Cas.	Hort.
Parthenium hysterophorus L.		Asteraceae	A	1999	2013	SAM	X			Cas.	Grain
Petasites albus (L.) Gaertn.		Asteraceae	D	1862	N	E AS-Te	X		X	Nat.	Hort.
Petasites japonicus (Siebold et Zucc.) Maxim.		Asteraceae	D	1989	N	AS-Te	X			Nat.	Hort.
Petasites pyrenaicus (L.) G. López	Petasites fragrans (Vill.) C. Presl	Asteraceae	D	1867	N?	E AF	X		X	Nat.?	Hort.
Pilosella aurantiaca (L.) F.W. Schultz et Schultz-Bip.	Hieracium aurantiacum L.	Asteraceae	D	1910	N	E	X	X	X	Nat.	Hort.
Pilosella bauhinii (Schult. ex Besser) Arv.-Touv.	Hieracium bauhinii Schult. ex Besser	Asteraceae	A	1909	N	E	X	X	X	Nat.	Ore,...
Pilosella caespitosa (Dum.) P.D. Sell et C. West	Hieracium caespitosum Dum.	Asteraceae	A	<1850	1996	E AS-Te	X	X	X	Cas.?	Ore,...
Pilosella flagellaris (Willd. ex Schlecht.) P.D. Sell et C. West	Hieracium flagellare Willd. ex Schlecht.	Asteraceae	A	1999	N	E			X	Nat.	Ore,...
Pilosella piloselloides (Vill.) Soják	Hieracium piloselloides Vill.	Asteraceae	A	1867	N	E AS-Te	X	X	X	Nat.	Ore,...
Pilosella x brachiata (Bertol. ex DC.) F.W. Schultz et Schultz-Bip.	Hieracium x brachiatum Bertol. ex DC. (H. bauhinii x pilosella L.)	Asteraceae	H	?	?	Hybr.	?	?	?	Cas.	Hybridization
Pilosella x duplex (Peter) Holub	Hieracium x duplex Peter (H. caespitosum < pilosella L.)	Asteraceae	H	1976?	1976?	Hybr.			X	Cas.	Hybridization
Pilosella x florentoides (Arv.-Touv.) P.D. Sell et C. West	Hieracium x florentoides Arv.-Touv. (H. pilosella L. x piloselloides)	Asteraceae	H	1979?	1979?	Hybr.			X	Cas.	Hybridization
Pilosella x prussica (Naeg. et Peter) Soják	Hieracium x prussicum Naeg. et Peter (H. caespitosum > pilosella L.)	Asteraceae	H	2003	2005	Hybr.			X	Cas.?	Hybridization
Podolepis auriculata DC.		Asteraceae	A	1899	1899	AUS			X	Cas.	Wool
Prenanthes purpurea L.		Asteraceae	D?	<1850	<1850	E AS-Te			X	Cas.	Hort.?
Psephellus dealbatus (Willd.) K. Koch	Centaurea dealbata Willd.	Asteraceae	D?	1944	2014	AS-Te	X		X	Cas.	Hort.
Pseudognaphalium undulatum (L.) Hilliard et Burtt	Gnaphalium undulatum L.	Asteraceae	A	1893	1906	AF			X	Cas.	Wool
Pulicaria arabica (L.) Cass. subsp. arabica		Asteraceae	A	1898	1898	AF AS-Te			X	Cas.	Wool
Pulicaria arabica (L.) Cass. subsp. hispanica (Boiss.) Murb.	Pulicaria paludosa Link	Asteraceae	A	2011	2011	E AF	X			Cas.	Grain
