Unnamed: 0	taxonID	datasetName	scientificName	synonym	kingdom	phylum	class	order	family	genus	specificEpithet	subspecies	taxonGroup	vernacularNameEN	vernacularNameNL	vernacularNameFR	status	statusCertainty	BFIS	ISEIA	spatialDistribution	invasiveness	introductionPathway	introductionMode	habitat	origin	presenceBE	presenceFL	presenceWA	presenceBR	presenceBECoast	presenceBPNS	presenceBEEZ	firstObservationYearBE	firstObservationYearFL	latestObservationYearBE	source	sourceID	riskAnalysis	publicationStatus	notes	gbifapi_usageKey	gbifapi_scientificName	gbifapi_canonicalName	gbifapi_status	gbifapi_rank	gbifapi_matchType	gbifapi_confidence	gbifapi_acceptedKey
101		plants	Beta vulgaris L. subsp. vulgaris						Amaranthaceae								Cas.						Agric.	D		?		X	X	X				1891		Ann.						7068845	Beta vulgaris subsp. vulgaris	Beta vulgaris vulgaris	ACCEPTED	SUBSPECIES	EXACT	97	7068845
102		plants	Blitum capitatum L.	Chenopodium capitatum (L.) Ambr.					Amaranthaceae								Cas.						Agric.	D		?		X	X	X				<1850		1980						5383971	Blitum capitatum L.	Blitum capitatum	SYNONYM	SPECIES	EXACT	100	3083854
103		plants	Blitum nuttallianum Schult.	Monolepis nuttalliana (Schult.) E. Greene					Amaranthaceae								Cas.						Grain,etc	A		NAM AS-Te		X						<1900		1994						5568899	Blitum nuttallianum Schult.	Blitum nuttallianum	ACCEPTED	SPECIES	EXACT	100	5568899
104		plants	Blitum virgatum L.	Chenopodium foliosum Aschers.					Amaranthaceae								Nat.						Ore, wool,etc	A		E AF AS-Te		X	X	X				1858		N						5383969	Blitum virgatum L.	Blitum virgatum	SYNONYM	SPECIES	EXACT	100	3083844
105		plants	Chenopodiastrum simplex (Torr.) Fuentes & al.	Chenopodium simplex (Torr.) Rafin.					Amaranthaceae								Cas.						Grain?	A		NAM		X	X					1882		1970													
106		plants	Chenopodium album L. x hircinum						Amaranthaceae								Cas.						Hybridization	A		Hybr.		X						1954		1954													
107		plants	Chenopodium album L. x missouriense 						Amaranthaceae								Cas.						Hybridization	A		Hybr.		?	?	?				?		?													
108		plants	Chenopodium album L. x probstii 						Amaranthaceae								Cas.						Hybridization	A		Hybr.		?	?	?				?		?													
109		plants	Chenopodium auricomiforme J. Murr et Thell.						Amaranthaceae								Cas.						Wool	A		AUS			X					1911		1911						3757189	Chenopodium auricomiforme Murr & Thell.	Chenopodium auricomiforme	ACCEPTED	SPECIES	EXACT	100	3757189
110		plants	Chenopodium berlandieri Moq.						Amaranthaceae								Nat.						Ore?	A		NAM		X		X				1918		N						3083920	Chenopodium berlandieri Moq.	Chenopodium berlandieri	ACCEPTED	SPECIES	EXACT	100	3083920
