AphiaID	Kingdom	Phylum	Class	Order	Family	Genus	Taxon	PlaceName	Distribution_id	Note	Beginyear	Occurrence	Origin	Invasiveness	Reference_id	Reference
118154.0	Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Telmatogeton	Telmatogeton japonicus	Belgian part of the North Sea	856907.0		2004.0	Established	Alien	Not specified	194871.0	Kerckhof, F. (2005). National Report Belgium 2004, in: ICES (Ed.) (2005). Report of the Working Group on Introductions and Transfers of Marine Organisms (WGITMO): By Correspondence. CM Documents - ICES, CM 2005(ACME:05): pp. 23-25 
141607.0	Animalia	Mollusca	Bivalvia	Myoida	Teredinidae	Teredo	Teredo navalis	Belgian Exclusive Economic Zone	642495.0	non-indigenous			Alien		132969.0	VLIZ Alien Species Consortium
141607.0	Animalia	Mollusca	Bivalvia	Myoida	Teredinidae	Teredo	Teredo navalis	Belgian part of the North Sea	856908.0	 first observation between 1730-1732		Uncertain	Origin unknown	Not specified	194881.0	Sellius, G. (1733). Historia naturalis teredinis seu Xylophagi marini, tubulo-conchoidis speciatim belgici: cum tabulis ad vivum coloratis. Apud Hermannum Besseling: Trajecti ad Rhenum (Utrecht). (30), 353, (11), 4 pl. pp. 
148936.0	Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	Thalassiosira punctigera	Belgian Exclusive Economic Zone	642471.0	non-indigenous			Alien		132969.0	VLIZ Alien Species Consortium
111254.0	Animalia	Bryozoa	Gymnolaemata	Cheilostomatida	Candidae	Tricellaria	Tricellaria inopinata	Belgian Coast	625735.0	Heel algemeen in jachthavens. Geïntroduceerde soort. Op pontons, scheepshuiden, <i>Sargassum</i>, <i>Codium</i>, touw, mosselschelpen,... <i>Tricellaria inopinata</i> koloniseert in ijltempo de jachthavens van Europa.			Alien		130048.0	De_blauwe, H. (2009). Mosdiertjes van de Zuidelijke Bocht van de Noordzee: Determinatiewerk voor België en Nederland. <em>Vlaams Instituut voor de Zee, Oostende.</em> 464.
111254.0	Animalia	Bryozoa	Gymnolaemata	Cheilostomatida	Candidae	Tricellaria	Tricellaria inopinata	Belgian Exclusive Economic Zone	642532.0	non-indigenous			Alien		132969.0	VLIZ Alien Species Consortium
111254.0	Animalia	Bryozoa	Gymnolaemata	Cheilostomatida	Candidae	Tricellaria	Tricellaria inopinata	Belgian part of the North Sea	856909.0		2000.0	Established	Alien	Not specified	194873.0	De Blauwe, H. (2002). Determinatie en verspreiding van Tricellaria inopinata d'Hondt & Occhipinti Ambrogi (Bryozoa, Cheilostomatida), een recente immigrant uit het noorden van de Stille Oceaan. <em>Het Zeepaard.</em> 62(3): 73-88.
111254.0	Animalia	Bryozoa	Gymnolaemata	Cheilostomatida	Candidae	Tricellaria	Tricellaria inopinata	Belgian part of the North Sea	816244.0		2000.0	Established	Alien	Uncertain	177060.0	Fofonoff, P.W.; Ruiz, G.M.; Steves, B.; Carlton, J.T. (2014). National Exotic Marine and Estuarine Species Information System (NEMESIS)
111256.0	Animalia	Bryozoa	Gymnolaemata	Cheilostomatida	Candidae	Tricellaria	Tricellaria ternata	Belgian Coast	625739.0	Noordelijke soort. Zeldzaam op schelpen, wieren en vooral op hydroïden.	1906.0		Alien		130048.0	De_blauwe, H. (2009). Mosdiertjes van de Zuidelijke Bocht van de Noordzee: Determinatiewerk voor België en Nederland. <em>Vlaams Instituut voor de Zee, Oostende.</em> 464.
137577.0	Animalia	Annelida	Clitellata	Haplotaxida	Tubificidae	Tubificoides	Tubificoides heterochaetus	Belgian Exclusive Economic Zone	639816.0	non-indigenous			Alien		132969.0	VLIZ Alien Species Consortium
137577.0	Animalia	Annelida	Clitellata	Haplotaxida	Tubificidae	Tubificoides	Tubificoides heterochaetus	Belgian part of the North Sea	856914.0	estuaries, Schelde	1952.0	Established	Alien	Not specified	195436.0	Seys, J.; Vincx, M.; Meire, P. (1999). Spatial distribution of oligochaetes (Clitellata) in the tidal freshwater and brackish parts of the Schelde estuary (Belgium). <em>Hydrobiologia.</em> 406: 119-132.
145721.0	Chromista	Ochrophyta	Phaeophyceae	Laminariales	Alariaceae	Undaria	Undaria pinnatifida	Belgian Exclusive Economic Zone	642472.0	non-indigenous			Alien		132969.0	VLIZ Alien Species Consortium
145721.0	Chromista	Ochrophyta	Phaeophyceae	Laminariales	Alariaceae	Undaria	Undaria pinnatifida	Belgian part of the North Sea	819338.0	Location : Marine of Zeebrugge<br/>Year first introduced or recorded : Region of first record: marina of Zeebrugge (51.34Â°N, 3.18Â°E)	1999.0	Established	Alien	Uncertain	177036.0	DAISIE - European Invasive Alien Species Gateway
145721.0	Chromista	Ochrophyta	Phaeophyceae	Laminariales	Alariaceae	Undaria	Undaria pinnatifida	Belgian part of the North Sea	856910.0		1999.0	Established	Alien	Not specified	194862.0	Dumoulin, E.; De Blauwe, H. (1999). Het bruinwier Undaria pinnatifida (Harvey) Suringar aangetroffen in de jachthaven van Zeebrugge: met gegevens over het voorkomen in Europa en de wijze van verspreiding (Phaeophyta: Laminariales). <em>De Strandvlo.</em> 19(4): 182-188.
111673.0	Animalia	Bryozoa	Gymnolaemata	Ctenostomatida	Victorellidae	Victorella	Victorella pavida	Belgian part of the North Sea	825925.0	Location : Oostende		Reported	Alien	Uncertain	191984.0	Carrada, C. C.; Sacchi, C. F. (1964). Recherches ecologiques sur le bryozoaire ctenostome Victorella pavida (Kent). <em>Vie et Milieu.</em> 15: 389-427.
