taxonID	datasetName	scientificName	synonym	kingdom	phylum	class	order	family	genus	specificEpithet	subspecies	taxonGroup	vernacularNameEN	vernacularNameNL	vernacularNameFR	status	statusCertainty	BFIS	ISEIA	spatialDistribution	invasiveness	introductionPathway	introductionMode	habitat	origin	presenceBE	presenceFL	presenceWA	presenceBR	presenceBECoast	presenceBPNS	presenceBEEZ	firstObservationYearBE	firstObservationYearFL	latestObservationYearBE	source	sourceID	riskAnalysis	publicationStatus	notes
148603	wrims	Monocorophium sextonae		Animalia	Arthropoda	Malacostraca	Amphipoda	Corophiidae	Monocorophium							Established	Alien				Not specified										Belgian part of the North Sea		1993			Dewicke, A. (2002). De hyperbenthische gemeenschappen van de Noordzee [Hyperbenthic communities of the North Sea]. PhD Thesis. Universiteit Gent (RUG): Gent, Belgium. 219 + 1 cd-rom pp.	1656			
140430	wrims	Mya arenaria		Animalia	Mollusca	Bivalvia	Myoida	Myidae	Mya								Alien															Belgian Exclusive Economic Zone				VLIZ Alien Species Consortium	132969			non-indigenous
140430	wrims	Mya arenaria		Animalia	Mollusca	Bivalvia	Myoida	Myidae	Mya							Established	Alien				Uncertain										Belgian part of the North Sea					DAISIE - European Invasive Alien Species Gateway	177036			
140430	wrims	Mya arenaria		Animalia	Mollusca	Bivalvia	Myoida	Myidae	Mya							Established	Alien				Not specified										Belgian part of the North Sea					Kerckhof, F., Haelters, J.; Gollasch, S. (2007). Alien species in the marine and brackish ecosystem: the situation in Belgian waters. <em>Aquatic Invasions.</em> 2(3): 243-257.	71170			first observation before 1810
168589	wrims	Mycale (Carmia) micracanthoxea		Animalia	Porifera	Demospongiae	Poecilosclerida	Mycalidae	Mycale								Alien															Belgian Exclusive Economic Zone				VLIZ Alien Species Consortium	132969			non-indigenous
128900	wrims	Mytilicola intestinalis		Animalia	Arthropoda		Poecilostomatoida	Mytilicolidae	Mytilicola								Alien															Belgian Exclusive Economic Zone				VLIZ Alien Species Consortium	132969			non-indigenous
128900	wrims	Mytilicola intestinalis		Animalia	Arthropoda		Poecilostomatoida	Mytilicolidae	Mytilicola							Established	Alien				Not specified										Belgian part of the North Sea		1950			Leloup, E. (1951). Sur la pr̩sence de Mytilicola intestinalis Steuer le long de la c̫te de Belgique. <em>Revue des Travaux de l'Office Scientifique et Technique des P̻ches Maritimes.</em> 17(2):57-58. (iii-1951).	95129			
156887	wrims	Mytilopsis leucophaeata		Animalia	Mollusca	Bivalvia	Veneroida	Dreissenidae	Mytilopsis								Alien															Belgian Exclusive Economic Zone				VLIZ Alien Species Consortium	132969			non-indigenous
156887	wrims	Mytilopsis leucophaeata		Animalia	Mollusca	Bivalvia	Veneroida	Dreissenidae	Mytilopsis							Established	Alien				Not specified										Belgian part of the North Sea		1835			Nyst, P-H. (1835). Mollusques. <em>Bull. Acad. r. sci. b.-lett. Brux.</em> 2: 235-236, 1 plate.	195447			estuaries and river basins
156887	wrims	Mytilopsis leucophaeata		Animalia	Mollusca	Bivalvia	Veneroida	Dreissenidae	Mytilopsis							Established	Alien				Uncertain										Belgian part of the North Sea		1835			DAISIE - European Invasive Alien Species Gateway	177036			Location : Scheldt Estuary at Antwerp<br/>Year first introduced or recorded : Region of first record: Scheldt Estuary at Antwerp
