taxonID	datasetName	scientificName	synonym	kingdom	phylum	class	order	family	genus	specificEpithet	subspecies	taxonGroup	vernacularNameEN	vernacularNameNL	vernacularNameFR	status	statusCertainty	BFIS	ISEIA	spatialDistribution	invasiveness	introductionPathway	introductionMode	habitat	origin	presenceBE	presenceFL	presenceWA	presenceBR	presenceBECoast	presenceBPNS	presenceBEEZ	firstObservationYearBE	firstObservationYaerFL	latestObservationYearBE	source	sourceID	riskAnalysis	publicationStatus	notes
152	harmonia	Neogobius melanostomus	Apollonia melanostomus					Gobiidae					Round goby	Zwartbekgrondel	Gobie à taches noires			a2	12	restricted		accidental		freshwater, brackish	Asia, Europe	yes	yes	yes					2012					yes	published	
78	harmonia	Nyctereutes procyonoides						Canidae					Raccoon dog	Wasbeerhond	Chien viverrin	naturalization		b1	9	isolated				terrestrial	Asia	yes		yes					2010					yes	published	
114	harmonia	Oenothera spp.	O. biennis, O. deflexa, O. glazioviana.					Onagraceae					Evening primrose	Teunisbloem	Onagre	spread		c	7	widespread		agri- and horticulture		terrestrial	North America	yes	yes	yes					1792					no	published	
79	harmonia	Oncorhynchus mykiss						Salmonidae					Rainbow trout	Regenboogforel	Truite arc-en-ciel			b2	1	restricted				freshwater	North America	no	no	no					1884					no	pending	
28	harmonia	Ondatra zibethicus						Muridae					Muskrat	Muskusrat	Rat musqué	spread		a3	12	widespread		fur farming		freshwater	North America	yes	yes	yes					1928					no	published	
80	harmonia	Orthodontium lineare						Orthodontiaceae					Cape thread-moss	Geelsteeltje				b2	1	restricted				terrestrial		yes							1945					no	pending	
81	harmonia	Ovis ammon						Bovidae					Mouflon		Mouflon	naturalization		c	1	isolated				terrestrial	Europe	yes	no	yes					1938					no	pending	
22	harmonia	Oxyura jamaicensis						Anatidae					Ruddy duck	Rosse stekelstaart	Erismature rousse			b0	10			pets and domestic animals		freshwater	North America	no												yes	published	
133	harmonia	Parthenocissus spp.	P. inserta, P. quinquefolia, P. vitacea					Vitaceae					(false) virginia creeper	(valse) wingerd	Vigne vierge	spread		b3	10	widespread		agri- and horticulture		terrestrial	North America	yes	yes	yes					1880					no	published	
89	harmonia	Pelophylax ridibundus	Rana ridibunda					Ranidae					Marsh frog	Meerkikker, Grote groene kikker	Grenouille rieuse	spread		a2	11	restricted		aquariums and ponds		freshwater	Asia, Europe	yes	yes	yes					1975					no	published	
82	harmonia	Perccottus glenii	Perccottus glehni					Odontobutidae					Rotan, Amur sleeper	Amurgrondel	Goujon de l'amour			a0	11			accidental, aquariums and ponds, game/fish stocking		freshwater, brackish	Asia	no												yes	published	
85	harmonia	Persicaria wallichii	Polygonum polystachyum					Polygonaceae					Himalayan knotweed	Afgaanse duizendknoop	Renouée de l'himalaya	naturalization		b2	10	restricted		agri- and horticulture		terrestrial	Asia	yes	yes	yes					1898					no	published	
111	harmonia	Phytolacca americana	Phytolacca decandra					Phytolaccaceae					American pokeweed	Westerse karmozijnbes	Raisin d'Amérique			b0	9			agri- and horticulture		terrestrial	North America	no												no	published	
